;;Nationalratswahl vom 01.10.2006 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;ÖVP;;;SPÖ;;;FPÖ;;;GRÜNE;;;KPÖ;;;BZÖ;;;MATIN;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenn-Nr.;Bezeichnung;Wahl-berecht.;Wahl-bet. in%;ungült. Stim.;Gültige Stimmen;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;;;;;;;;;;;;;;;;;;;;;;;;
30527;St. Georgen am Ybbsfelde                ;1.938;86,22;35;1.636;779;47,62;-10,42;478;29,22;-0,46;190;11,61;4,63;99;6,05;1,69;6;0,37;0,00;44;2,69;2,69;40;2,44;2,44;;;;;;;;;;;;;;;;;;;;;;;;
30529;St. Pantaleon - Erla                    ;1.911;84,93;27;1.596;496;31,08;-7,66;733;45,93;-0,28;145;9,09;1,44;111;6,95;0,84;13;0,81;0,32;29;1,82;1,82;69;4,32;4,32;;;;;;;;;;;;;;;;;;;;;;;;
30530;St. Peter in der Au                     ;3.741;84,82;69;3.104;1.824;58,76;-8,60;686;22,10;1,53;228;7,35;1,69;228;7,35;1,69;12;0,39;0,13;61;1,97;1,97;65;2,09;2,09;;;;;;;;;;;;;;;;;;;;;;;;
30531;St. Valentin                            ;7.117;82,62;90;5.790;1.400;24,18;-5,84;3.027;52,28;-1,28;551;9,52;3,29;527;9,10;-0,03;35;0,60;0,07;102;1,76;1,76;148;2,56;2,56;;;;;;;;;;;;;;;;;;;;;;;;
30532;Seitenstetten                           ;2.413;84,42;42;1.995;1.079;54,09;-13,66;412;20,65;1,04;148;7,42;2,62;177;8,87;2,06;13;0,65;0,26;104;5,21;5,21;62;3,11;3,11;;;;;;;;;;;;;;;;;;;;;;;;
30533;Sonntagberg                             ;3.147;81,19;51;2.504;693;27,68;-5,31;1.290;51,52;-3,98;217;8,67;3,17;142;5,67;0,83;23;0,92;0,22;61;2,44;2,44;78;3,12;3,12;;;;;;;;;;;;;;;;;;;;;;;;
30534;Strengberg                              ;1.565;83,26;43;1.260;671;53,25;-8,44;369;29,29;0,18;85;6,75;2,45;79;6,27;2,05;7;0,56;0,33;19;1,51;1,51;30;2,38;2,38;;;;;;;;;;;;;;;;;;;;;;;;
30536;Viehdorf                                ;921;88,27;15;798;479;60,03;-6,76;154;19,30;-2,39;75;9,40;3,45;38;4,76;0,05;3;0,38;0,13;29;3,63;3,63;20;2,51;2,51;;;;;;;;;;;;;;;;;;;;;;;;
30538;Wallsee - Sindelburg                    ;1.680;81,55;30;1.340;641;47,84;-11,50;396;29,55;1,54;146;10,90;3,22;83;6,19;1,67;8;0,60;0,37;39;2,91;2,91;27;2,01;2,01;;;;;;;;;;;;;;;;;;;;;;;;
30539;Weistrach                               ;1.690;83,20;20;1.386;886;63,92;-7,67;232;16,74;0,38;101;7,29;1,44;99;7,14;1,71;10;0,72;0,51;29;2,09;2,09;29;2,09;2,09;;;;;;;;;;;;;;;;;;;;;;;;
30541;Winklarn                                ;1.160;85,00;21;965;428;44,35;-9,88;299;30,98;-1,73;92;9,53;4,15;80;8,29;2,47;8;0,83;0,50;29;3,01;3,01;29;3,01;3,01;;;;;;;;;;;;;;;;;;;;;;;;
30542;Wolfsbach                               ;1.413;87,26;18;1.215;791;65,10;-12,30;202;16,63;2,97;104;8,56;3,16;50;4,12;0,66;9;0,74;0,74;26;2,14;2,14;33;2,72;2,72;;;;;;;;;;;;;;;;;;;;;;;;
30543;Ybbsitz                                 ;2.842;85,01;76;2.340;1.333;56,97;-10,40;496;21,20;1,20;179;7,65;1,64;186;7,95;2,23;20;0,85;0,56;60;2,56;2,56;66;2,82;2,82;;;;;;;;;;;;;;;;;;;;;;;;
