GKZ;Gebietsname;Wahlbe-rechtigte;Stimmen;Ungültige;Gültige;ÖVP;%;SPÖ;%;FPÖ;%;NEOS;%;JETZT;%;GRÜNE;%;KPÖ;%;WANDL;%;BZÖ;%;BIER;%;CPÖ;%;GILT;%;SLP;%
G31533;Pöchlarn;3.030;1.776;44;1.732;645;37,24;445;25,69;333;19,23;94;5,43;45;2,60;157;9,06;11;0,64;2;0,12;;0,00;;0,00;;0,00;;0,00;;0,00
G31534;Pöggstall;2.000;1.366;31;1.335;772;57,83;185;13,86;239;17,90;57;4,27;7;0,52;67;5,02;3;0,22;5;0,37;;0,00;;0,00;;0,00;;0,00;;0,00
G31535;Raxendorf;862;668;19;649;372;57,32;100;15,41;126;19,41;23;3,54;7;1,08;18;2,77;0;0,00;3;0,46;;0,00;;0,00;;0,00;;0,00;;0,00
G31537;Ruprechtshofen;1.853;1.305;28;1.277;706;55,29;118;9,24;272;21,30;68;5,32;18;1,41;90;7,05;2;0,16;3;0,23;;0,00;;0,00;;0,00;;0,00;;0,00
G31539;St. Leonhard am Forst;2.483;1.739;37;1.702;831;48,82;209;12,28;400;23,50;97;5,70;26;1,53;127;7,46;6;0,35;6;0,35;;0,00;;0,00;;0,00;;0,00;;0,00
G31540;St. Martin-Karlsbach;1.379;972;19;953;442;46,38;208;21,83;163;17,10;50;5,25;12;1,26;70;7,35;4;0,42;4;0,42;;0,00;;0,00;;0,00;;0,00;;0,00
G31541;St. Oswald;908;628;15;613;378;61,66;115;18,76;61;9,95;29;4,73;1;0,16;22;3,59;4;0,65;3;0,49;;0,00;;0,00;;0,00;;0,00;;0,00
G31542;Schönbühel-Aggsbach;834;586;13;573;272;47,47;81;14,14;117;20,42;42;7,33;8;1,40;48;8,38;3;0,52;2;0,35;;0,00;;0,00;;0,00;;0,00;;0,00
G31543;Schollach;806;574;10;564;252;44,68;120;21,28;125;22,16;23;4,08;7;1,24;35;6,21;2;0,35;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31546;Weiten;901;531;8;523;313;59,85;68;13,00;87;16,63;19;3,63;2;0,38;27;5,16;7;1,34;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31549;Ybbs an der Donau;4.164;2.655;43;2.612;908;34,76;886;33,92;441;16,88;115;4,40;38;1,45;203;7,77;7;0,27;14;0,54;;0,00;;0,00;;0,00;;0,00;;0,00
G31550;Zelking-Matzleinsdorf;1.005;752;10;742;372;50,13;120;16,17;101;13,61;67;9,03;10;1,35;68;9,16;3;0,40;1;0,13;;0,00;;0,00;;0,00;;0,00;;0,00
G31551;Texingtal;1.305;952;20;932;588;63,09;83;8,91;109;11,70;55;5,90;15;1,61;74;7,94;1;0,11;7;0,75;;0,00;;0,00;;0,00;;0,00;;0,00
G31552;Yspertal;1.640;1.032;27;1.005;426;42,39;228;22,69;221;21,99;61;6,07;16;1,59;48;4,78;1;0,10;4;0,40;;0,00;;0,00;;0,00;;0,00;;0,00
G31553;Emmersdorf an der Donau;1.409;906;16;890;407;45,73;168;18,88;131;14,72;54;6,07;17;1,91;103;11,57;4;0,45;6;0,67;;0,00;;0,00;;0,00;;0,00;;0,00
G31599;Wahlkarten - Melk;0;8.242;117;8.125;3.179;39,13;1.778;21,88;1.112;13,69;656;8,07;146;1,80;1.160;14,28;38;0,47;56;0,69;;0,00;;0,00;;0,00;;0,00;;0,00
G31600;Mistelbach;60.948;49.872;809;49.063;23.613;48,13;8.528;17,38;8.080;16,47;3.166;6,45;704;1,43;4.546;9,27;228;0,46;198;0,40;;0,00;;0,00;;0,00;;0,00;;0,00
G31601;Altlichtenwarth;627;422;6;416;222;53,37;69;16,59;87;20,91;11;2,64;10;2,40;12;2,88;3;0,72;2;0,48;;0,00;;0,00;;0,00;;0,00;;0,00
G31603;Asparn an der Zaya;1.485;1.106;13;1.093;549;50,23;199;18,21;217;19,85;47;4,30;12;1,10;61;5,58;4;0,37;4;0,37;;0,00;;0,00;;0,00;;0,00;;0,00
G31604;Bernhardsthal;1.303;942;23;919;463;50,38;228;24,81;143;15,56;37;4,03;10;1,09;33;3,59;1;0,11;4;0,44;;0,00;;0,00;;0,00;;0,00;;0,00
G31605;Bockfließ;1.047;816;16;800;360;45,00;200;25,00;111;13,88;53;6,63;8;1,00;58;7,25;5;0,63;5;0,63;;0,00;;0,00;;0,00;;0,00;;0,00
G31606;Drasenhofen;881;605;6;599;379;63,27;52;8,68;126;21,04;23;3,84;1;0,17;13;2,17;2;0,33;3;0,50;;0,00;;0,00;;0,00;;0,00;;0,00
G31608;Falkenstein;404;308;0;308;204;66,23;13;4,22;24;7,79;23;7,47;5;1,62;37;12,01;2;0,65;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31609;Fallbach;693;479;5;474;327;68,99;40;8,44;57;12,03;22;4,64;1;0,21;27;5,70;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31611;Gaubitsch;734;560;14;546;367;67,22;31;5,68;77;14,10;34;6,23;3;0,55;28;5,13;4;0,73;2;0,37;;0,00;;0,00;;0,00;;0,00;;0,00
G31612;Gaweinstal;3.102;2.132;35;2.097;989;47,16;358;17,07;442;21,08;125;5,96;24;1,14;146;6,96;7;0,33;6;0,29;;0,00;;0,00;;0,00;;0,00;;0,00
G31613;Gnadendorf;967;658;17;641;405;63,18;73;11,39;80;12,48;40;6,24;8;1,25;34;5,30;1;0,16;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31614;Großebersdorf;1.784;1.341;28;1.313;671;51,10;184;14,01;218;16,60;99;7,54;34;2,59;91;6,93;8;0,61;8;0,61;;0,00;;0,00;;0,00;;0,00;;0,00
G31615;Großengersdorf;1.125;890;19;871;355;40,76;261;29,97;122;14,01;53;6,08;12;1,38;64;7,35;3;0,34;1;0,11;;0,00;;0,00;;0,00;;0,00;;0,00
G31616;Großharras;957;697;16;681;390;57,27;89;13,07;128;18,80;30;4,41;12;1,76;28;4,11;2;0,29;2;0,29;;0,00;;0,00;;0,00;;0,00;;0,00
G31617;Großkrut;1.341;1.002;16;986;477;48,38;198;20,08;202;20,49;44;4,46;7;0,71;44;4,46;8;0,81;6;0,61;;0,00;;0,00;;0,00;;0,00;;0,00
G31620;Hausbrunn;683;479;5;474;196;41,35;150;31,65;79;16,67;21;4,43;9;1,90;12;2,53;1;0,21;6;1,27;;0,00;;0,00;;0,00;;0,00;;0,00
G31621;Herrnbaumgarten;765;554;9;545;336;61,65;53;9,72;94;17,25;22;4,04;4;0,73;34;6,24;2;0,37;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31622;Hochleithen;947;676;6;670;343;51,19;153;22,84;97;14,48;35;5,22;9;1,34;29;4,33;3;0,45;1;0,15;;0,00;;0,00;;0,00;;0,00;;0,00
G31627;Kreuttal;1.215;855;18;837;365;43,61;182;21,74;120;14,34;45;5,38;19;2,27;98;11,71;5;0,60;3;0,36;;0,00;;0,00;;0,00;;0,00;;0,00
G31628;Kreuzstetten;1.252;857;21;836;321;38,40;173;20,69;139;16,63;63;7,54;13;1,56;121;14,47;3;0,36;3;0,36;;0,00;;0,00;;0,00;;0,00;;0,00
G31629;Laa an der Thaya;5.099;3.524;64;3.460;1.474;42,60;713;20,61;733;21,18;161;4,65;59;1,71;286;8,27;20;0,58;14;0,40;;0,00;;0,00;;0,00;;0,00;;0,00
G31630;Ladendorf;1.876;1.272;25;1.247;587;47,07;233;18,68;207;16,60;65;5,21;21;1,68;126;10,10;6;0,48;2;0,16;;0,00;;0,00;;0,00;;0,00;;0,00
G31633;Mistelbach;9.286;6.180;100;6.080;2.593;42,65;1.161;19,10;999;16,43;477;7,85;108;1,78;689;11,33;24;0,39;29;0,48;;0,00;;0,00;;0,00;;0,00;;0,00
G31634;Neudorf im Weinviertel;1.162;835;27;808;345;42,70;151;18,69;199;24,63;35;4,33;9;1,11;58;7,18;9;1,11;2;0,25;;0,00;;0,00;;0,00;;0,00;;0,00
G31636;Niederleis;738;517;11;506;242;47,83;92;18,18;93;18,38;35;6,92;4;0,79;36;7,11;1;0,20;3;0,59;;0,00;;0,00;;0,00;;0,00;;0,00
G31642;Pillichsdorf;930;741;12;729;317;43,48;130;17,83;84;11,52;50;6,86;11;1,51;129;17,70;2;0,27;6;0,82;;0,00;;0,00;;0,00;;0,00;;0,00
G31644;Poysdorf;4.364;3.037;48;2.989;1.700;56,88;425;14,22;494;16,53;141;4,72;28;0,94;176;5,89;18;0,60;7;0,23;;0,00;;0,00;;0,00;;0,00;;0,00
G31645;Rabensburg;860;523;10;513;163;31,77;197;38,40;122;23,78;6;1,17;14;2,73;11;2,14;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31646;Schrattenberg;668;478;11;467;299;64,03;58;12,42;73;15,63;21;4,50;4;0,86;10;2,14;2;0,43;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31649;Staatz;1.629;1.144;22;1.122;617;54,99;187;16,67;204;18,18;45;4,01;7;0,62;57;5,08;5;0,45;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31650;Stronsdorf;1.366;1.020;15;1.005;583;58,01;93;9,25;223;22,19;53;5,27;7;0,70;43;4,28;2;0,20;1;0,10;;0,00;;0,00;;0,00;;0,00;;0,00
G31651;Ulrichskirchen-Schleinbach;2.098;1.578;24;1.554;661;42,54;311;20,01;235;15,12;105;6,76;21;1,35;208;13,38;9;0,58;4;0,26;;0,00;;0,00;;0,00;;0,00;;0,00
G31652;Unterstinkenbrunn;472;336;7;329;213;64,74;30;9,12;54;16,41;15;4,56;2;0,61;14;4,26;0;0,00;1;0,30;;0,00;;0,00;;0,00;;0,00;;0,00
G31653;Wildendürnbach;1.276;925;12;913;596;65,28;79;8,65;153;16,76;36;3,94;6;0,66;38;4,16;2;0,22;3;0,33;;0,00;;0,00;;0,00;;0,00;;0,00
G31654;Wilfersdorf;1.731;1.238;28;1.210;607;50,17;208;17,19;234;19,34;62;5,12;15;1,24;74;6,12;3;0,25;7;0,58;;0,00;;0,00;;0,00;;0,00;;0,00
G31655;Wolkersdorf im Weinviertel;5.610;3.988;59;3.929;1.722;43,83;617;15,70;415;10,56;375;9,54;75;1,91;690;17,56;16;0,41;19;0,48;;0,00;;0,00;;0,00;;0,00;;0,00
G31658;Ottenthal;471;344;5;339;264;77,88;25;7,37;32;9,44;8;2,36;0;0,00;8;2,36;2;0,59;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31699;Wahlkarten - Mistelbach;0;6.813;56;6.757;2.911;43,08;1.112;16,46;963;14,25;649;9,60;112;1,66;923;13,66;43;0,64;44;0,65;;0,00;;0,00;;0,00;;0,00;;0,00
G31700;Mödling;89.802;73.480;582;72.898;26.750;36,70;12.882;17,67;8.765;12,02;9.771;13,40;1.689;2,32;12.304;16,88;367;0,50;370;0,51;;0,00;;0,00;;0,00;;0,00;;0,00
G31701;Achau;1.066;703;9;694;216;31,12;172;24,78;116;16,71;76;10,95;9;1,30;101;14,55;2;0,29;2;0,29;;0,00;;0,00;;0,00;;0,00;;0,00
G31702;Biedermannsdorf;2.444;1.709;14;1.695;661;39,00;286;16,87;267;15,75;208;12,27;43;2,54;206;12,15;11;0,65;13;0,77;;0,00;;0,00;;0,00;;0,00;;0,00
G31703;Breitenfurt bei Wien;4.666;3.257;17;3.240;1.229;37,93;595;18,36;336;10,37;438;13,52;91;2,81;521;16,08;13;0,40;17;0,52;;0,00;;0,00;;0,00;;0,00;;0,00
G31704;Brunn am Gebirge;8.746;5.916;50;5.866;2.016;34,37;1.114;18,99;748;12,75;798;13,60;131;2,23;986;16,81;36;0,61;37;0,63;;0,00;;0,00;;0,00;;0,00;;0,00
G31706;Gaaden;1.302;956;11;945;390;41,27;133;14,07;84;8,89;163;17,25;18;1,90;151;15,98;3;0,32;3;0,32;;0,00;;0,00;;0,00;;0,00;;0,00
G31707;Gießhübl;1.749;1.182;5;1.177;478;40,61;153;13,00;104;8,84;215;18,27;31;2,63;191;16,23;0;0,00;5;0,42;;0,00;;0,00;;0,00;;0,00;;0,00
G31709;Gumpoldskirchen;2.892;2.024;13;2.011;739;36,75;295;14,67;264;13,13;268;13,33;50;2,49;375;18,65;11;0,55;9;0,45;;0,00;;0,00;;0,00;;0,00;;0,00
G31710;Guntramsdorf;6.840;4.712;54;4.658;1.594;34,22;1.095;23,51;805;17,28;468;10,05;105;2,25;544;11,68;25;0,54;22;0,47;;0,00;;0,00;;0,00;;0,00;;0,00
G31711;Hennersdorf;1.254;944;7;937;365;38,95;207;22,09;143;15,26;72;7,68;17;1,81;122;13,02;9;0,96;2;0,21;;0,00;;0,00;;0,00;;0,00;;0,00
G31712;Hinterbrühl;2.946;1.949;13;1.936;822;42,46;257;13,27;208;10,74;287;14,82;34;1,76;309;15,96;8;0,41;11;0,57;;0,00;;0,00;;0,00;;0,00;;0,00
G31713;Kaltenleutgeben;2.588;1.793;15;1.778;617;34,70;372;20,92;276;15,52;206;11,59;47;2,64;244;13,72;11;0,62;5;0,28;;0,00;;0,00;;0,00;;0,00;;0,00
G31714;Laab im Walde;896;594;7;587;245;41,74;79;13,46;43;7,33;67;11,41;15;2,56;134;22,83;2;0,34;2;0,34;;0,00;;0,00;;0,00;;0,00;;0,00
G31715;Laxenburg;2.149;1.398;13;1.385;635;45,85;217;15,67;146;10,54;165;11,91;35;2,53;172;12,42;10;0,72;5;0,36;;0,00;;0,00;;0,00;;0,00;;0,00
G31716;Maria Enzersdorf;6.542;4.100;22;4.078;1.635;40,09;479;11,75;371;9,10;594;14,57;111;2,72;865;21,21;11;0,27;12;0,29;;0,00;;0,00;;0,00;;0,00;;0,00
G31717;Mödling;14.930;9.283;75;9.208;3.129;33,98;1.664;18,07;1.001;10,87;1.217;13,22;195;2,12;1.894;20,57;52;0,56;56;0,61;;0,00;;0,00;;0,00;;0,00;;0,00
G31718;Münchendorf;2.269;1.557;15;1.542;600;38,91;318;20,62;253;16,41;168;10,89;33;2,14;150;9,73;8;0,52;12;0,78;;0,00;;0,00;;0,00;;0,00;;0,00
G31719;Perchtoldsdorf;11.762;7.815;58;7.757;3.101;39,98;971;12,52;802;10,34;1.211;15,61;181;2,33;1.420;18,31;37;0,48;34;0,44;;0,00;;0,00;;0,00;;0,00;;0,00
G31723;Vösendorf;5.348;3.369;41;3.328;1.069;32,12;836;25,12;653;19,62;324;9,74;84;2,52;329;9,89;20;0,60;13;0,39;;0,00;;0,00;;0,00;;0,00;;0,00
G31725;Wiener Neudorf;7.163;4.822;46;4.776;1.549;32,43;1.186;24,83;714;14,95;465;9,74;149;3,12;654;13,69;33;0,69;26;0,54;;0,00;;0,00;;0,00;;0,00;;0,00
G31726;Wienerwald;2.250;1.703;18;1.685;711;42,20;268;15,91;274;16,26;166;9,85;40;2,37;216;12,82;4;0,24;6;0,36;;0,00;;0,00;;0,00;;0,00;;0,00
G31799;Wahlkarten - Mödling;0;13.694;79;13.615;4.949;36,35;2.185;16,05;1.157;8,50;2.195;16,12;270;1,98;2.720;19,98;61;0,45;78;0,57;;0,00;;0,00;;0,00;;0,00;;0,00
G31800;Neunkirchen;67.903;53.654;886;52.768;21.468;40,68;12.170;23,06;10.113;19,17;3.106;5,89;896;1,70;4.468;8,47;306;0,58;241;0,46;;0,00;;0,00;;0,00;;0,00;;0,00
G31801;Altendorf;285;206;3;203;137;67,49;12;5,91;32;15,76;7;3,45;2;0,99;10;4,93;3;1,48;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31802;Aspang-Markt;1.528;1.044;17;1.027;495;48,20;198;19,28;184;17,92;62;6,04;12;1,17;72;7,01;2;0,19;2;0,19;;0,00;;0,00;;0,00;;0,00;;0,00
G31803;Aspangberg-St. Peter;1.545;1.089;23;1.066;622;58,35;118;11,07;208;19,51;50;4,69;19;1,78;44;4,13;3;0,28;2;0,19;;0,00;;0,00;;0,00;;0,00;;0,00
G31804;Breitenau;1.274;927;10;917;337;36,75;263;28,68;189;20,61;61;6,65;12;1,31;47;5,13;0;0,00;8;0,87;;0,00;;0,00;;0,00;;0,00;;0,00
G31805;Breitenstein;258;152;2;150;63;42,00;28;18,67;34;22,67;6;4,00;1;0,67;18;12,00;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31806;Buchbach;293;220;5;215;96;44,65;63;29,30;25;11,63;11;5,12;0;0,00;16;7,44;1;0,47;3;1,40;;0,00;;0,00;;0,00;;0,00;;0,00
G31807;Edlitz;746;529;9;520;285;54,81;73;14,04;82;15,77;28;5,38;4;0,77;46;8,85;0;0,00;2;0,38;;0,00;;0,00;;0,00;;0,00;;0,00
G31808;Enzenreith;1.593;1.119;19;1.100;450;40,91;222;20,18;227;20,64;71;6,45;9;0,82;109;9,91;11;1,00;1;0,09;;0,00;;0,00;;0,00;;0,00;;0,00
G31809;Feistritz am Wechsel;870;646;9;637;352;55,26;80;12,56;129;20,25;35;5,49;5;0,78;29;4,55;5;0,78;2;0,31;;0,00;;0,00;;0,00;;0,00;;0,00
G31810;Gloggnitz;4.595;3.006;44;2.962;1.076;36,33;691;23,33;669;22,59;167;5,64;54;1,82;250;8,44;32;1,08;23;0,78;;0,00;;0,00;;0,00;;0,00;;0,00
G31811;Grafenbach-St. Valentin;1.768;1.284;29;1.255;419;33,39;383;30,52;265;21,12;71;5,66;25;1,99;85;6,77;3;0,24;4;0,32;;0,00;;0,00;;0,00;;0,00;;0,00
G31812;Grimmenstein;1.111;776;18;758;352;46,44;165;21,77;138;18,21;40;5,28;11;1,45;49;6,46;1;0,13;2;0,26;;0,00;;0,00;;0,00;;0,00;;0,00
G31813;Grünbach am Schneeberg;1.226;825;9;816;280;34,31;265;32,48;144;17,65;35;4,29;18;2,21;69;8,46;2;0,25;3;0,37;;0,00;;0,00;;0,00;;0,00;;0,00
G31814;Kirchberg am Wechsel;2.021;1.428;29;1.399;776;55,47;114;8,15;294;21,02;87;6,22;13;0,93;108;7,72;3;0,21;4;0,29;;0,00;;0,00;;0,00;;0,00;;0,00
G31815;Mönichkirchen;520;334;5;329;187;56,84;37;11,25;61;18,54;19;5,78;7;2,13;13;3,95;2;0,61;3;0,91;;0,00;;0,00;;0,00;;0,00;;0,00
G31817;Natschbach-Loipersbach;1.393;964;22;942;449;47,66;148;15,71;189;20,06;49;5,20;12;1,27;85;9,02;5;0,53;5;0,53;;0,00;;0,00;;0,00;;0,00;;0,00
G31818;Neunkirchen;8.932;5.431;87;5.344;1.777;33,25;1.547;28,95;1.033;19,33;281;5,26;111;2,08;534;9,99;34;0,64;27;0,51;;0,00;;0,00;;0,00;;0,00;;0,00
G31820;Otterthal;486;349;3;346;156;45,09;68;19,65;87;25,14;16;4,62;1;0,29;17;4,91;1;0,29;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31821;Payerbach;1.651;1.054;22;1.032;411;39,83;238;23,06;203;19,67;54;5,23;31;3,00;80;7,75;8;0,78;7;0,68;;0,00;;0,00;;0,00;;0,00;;0,00
G31823;Pitten;2.276;1.476;29;1.447;572;39,53;298;20,59;288;19,90;108;7,46;30;2,07;139;9,61;6;0,41;6;0,41;;0,00;;0,00;;0,00;;0,00;;0,00
G31825;Prigglitz;359;243;0;243;120;49,38;35;14,40;53;21,81;10;4,12;7;2,88;17;7,00;1;0,41;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31826;Puchberg am Schneeberg;2.229;1.568;28;1.540;583;37,86;409;26,56;313;20,32;82;5,32;30;1,95;105;6,82;6;0,39;12;0,78;;0,00;;0,00;;0,00;;0,00;;0,00
G31827;Raach am Hochgebirge;240;191;2;189;115;60,85;25;13,23;39;20,63;1;0,53;2;1,06;7;3,70;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31829;Reichenau an der Rax;2.068;1.406;21;1.385;586;42,31;325;23,47;248;17,91;70;5,05;27;1,95;113;8,16;12;0,87;4;0,29;;0,00;;0,00;;0,00;;0,00;;0,00
G31830;St. Corona am Wechsel;311;207;3;204;127;62,25;5;2,45;53;25,98;3;1,47;2;0,98;13;6,37;0;0,00;1;0,49;;0,00;;0,00;;0,00;;0,00;;0,00
G31831;St. Egyden am Steinfeld;1.582;1.111;10;1.101;478;43,42;201;18,26;221;20,07;88;7,99;16;1,45;88;7,99;4;0,36;5;0,45;;0,00;;0,00;;0,00;;0,00;;0,00
G31832;Scheiblingkirchen-Thernberg;1.571;1.089;11;1.078;591;54,82;140;12,99;169;15,68;70;6,49;10;0,93;91;8,44;5;0,46;2;0,19;;0,00;;0,00;;0,00;;0,00;;0,00
G31833;Schottwien;525;344;14;330;155;46,97;65;19,70;72;21,82;11;3,33;5;1,52;18;5,45;4;1,21;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31834;Schrattenbach;305;213;5;208;102;49,04;27;12,98;41;19,71;16;7,69;5;2,40;16;7,69;0;0,00;1;0,48;;0,00;;0,00;;0,00;;0,00;;0,00
G31835;Schwarzau am Steinfeld;1.539;1.075;20;1.055;384;36,40;274;25,97;239;22,65;62;5,88;18;1,71;66;6,26;7;0,66;5;0,47;;0,00;;0,00;;0,00;;0,00;;0,00
G31836;Schwarzau im Gebirge;490;354;23;331;141;42,60;72;21,75;79;23,87;15;4,53;6;1,81;14;4,23;4;1,21;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31837;Seebenstein;1.183;795;26;769;301;39,14;171;22,24;165;21,46;52;6,76;10;1,30;67;8,71;2;0,26;1;0,13;;0,00;;0,00;;0,00;;0,00;;0,00
G31838;Semmering;409;242;5;237;108;45,57;44;18,57;48;20,25;19;8,02;4;1,69;13;5,49;1;0,42;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31839;Ternitz;11.346;7.631;155;7.476;2.284;30,55;2.420;32,37;1.491;19,94;410;5,48;154;2,06;625;8,36;63;0,84;29;0,39;;0,00;;0,00;;0,00;;0,00;;0,00
G31840;Thomasberg;1.041;777;13;764;416;54,45;110;14,40;173;22,64;23;3,01;10;1,31;32;4,19;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31841;Trattenbach;439;316;10;306;171;55,88;29;9,48;84;27,45;12;3,92;3;0,98;5;1,63;1;0,33;1;0,33;;0,00;;0,00;;0,00;;0,00;;0,00
G31842;Bürg-Vöstenhof;132;106;1;105;51;48,57;22;20,95;23;21,90;2;1,90;0;0,00;7;6,67;0;0,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31843;Warth;1.248;934;13;921;531;57,65;112;12,16;141;15,31;46;4,99;8;0,87;77;8,36;2;0,22;4;0,43;;0,00;;0,00;;0,00;;0,00;;0,00
G31844;Wartmannstetten;1.346;1.070;11;1.059;557;52,60;165;15,58;174;16,43;65;6,14;17;1,61;71;6,70;6;0,57;4;0,38;;0,00;;0,00;;0,00;;0,00;;0,00
G31845;Willendorf;784;525;10;515;202;39,22;85;16,50;106;20,58;32;6,21;20;3,88;65;12,62;5;0,97;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31846;Wimpassing im Schwarzatale;1.169;757;14;743;172;23,15;295;39,70;167;22,48;26;3,50;10;1,35;52;7,00;16;2,15;5;0,67;;0,00;;0,00;;0,00;;0,00;;0,00
G31847;Würflach;1.303;875;12;863;364;42,18;190;22,02;142;16,45;54;6,26;19;2,20;82;9,50;3;0,35;9;1,04;;0,00;;0,00;;0,00;;0,00;;0,00
G31848;Zöbern;1.181;894;11;883;543;61,49;96;10,87;146;16,53;45;5,10;8;0,91;40;4,53;5;0,57;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31849;Höflein an der Hohen Wand;732;532;7;525;177;33,71;158;30,10;89;16,95;33;6,29;10;1,90;55;10,48;0;0,00;3;0,57;;0,00;;0,00;;0,00;;0,00;;0,00
G31899;Wahlkarten - Neunkirchen;0;7.540;67;7.473;2.917;39,03;1.684;22,53;1.156;15,47;601;8,04;118;1,58;909;12,16;37;0,50;51;0,68;;0,00;;0,00;;0,00;;0,00;;0,00
G31900;Sankt Pölten Land;101.697;83.201;1.257;81.944;33.660;41,08;15.301;18,67;12.642;15,43;6.877;8,39;1.567;1,91;11.059;13,50;436;0,53;402;0,49;;0,00;;0,00;;0,00;;0,00;;0,00
G31901;Altlengbach;2.364;1.628;22;1.606;687;42,78;273;17,00;309;19,24;122;7,60;31;1,93;165;10,27;7;0,44;12;0,75;;0,00;;0,00;;0,00;;0,00;;0,00
G31902;Asperhofen;1.722;1.215;17;1.198;590;49,25;105;8,76;275;22,95;98;8,18;21;1,75;97;8,10;8;0,67;4;0,33;;0,00;;0,00;;0,00;;0,00;;0,00
G31903;Böheimkirchen;3.980;2.988;68;2.920;1.187;40,65;566;19,38;527;18,05;198;6,78;54;1,85;364;12,47;13;0,45;11;0,38;;0,00;;0,00;;0,00;;0,00;;0,00
G31904;Brand-Laaben;983;666;11;655;306;46,72;89;13,59;132;20,15;41;6,26;11;1,68;69;10,53;4;0,61;3;0,46;;0,00;;0,00;;0,00;;0,00;;0,00
G31905;Eichgraben;3.476;2.402;29;2.373;867;36,54;367;15,47;304;12,81;249;10,49;63;2,65;500;21,07;11;0,46;12;0,51;;0,00;;0,00;;0,00;;0,00;;0,00
G31906;Frankenfels;1.599;1.253;32;1.221;679;55,61;222;18,18;191;15,64;44;3,60;6;0,49;74;6,06;2;0,16;3;0,25;;0,00;;0,00;;0,00;;0,00;;0,00
G31907;Gerersdorf;768;570;12;558;308;55,20;94;16,85;60;10,75;33;5,91;10;1,79;47;8,42;1;0,18;5;0,90;;0,00;;0,00;;0,00;;0,00;;0,00
G31909;Hofstetten-Grünau;2.146;1.644;32;1.612;840;52,11;226;14,02;283;17,56;112;6,95;16;0,99;122;7,57;7;0,43;6;0,37;;0,00;;0,00;;0,00;;0,00;;0,00
G31910;Hafnerbach;1.359;1.048;16;1.032;479;46,41;171;16,57;170;16,47;78;7,56;12;1,16;110;10,66;4;0,39;8;0,78;;0,00;;0,00;;0,00;;0,00;;0,00
G31911;Haunoldstein;916;663;8;655;283;43,21;139;21,22;123;18,78;38;5,80;20;3,05;49;7,48;3;0,46;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
G31912;Herzogenburg;5.981;3.965;54;3.911;1.349;34,49;1.111;28,41;740;18,92;205;5,24;62;1,59;409;10,46;25;0,64;10;0,26;;0,00;;0,00;;0,00;;0,00;;0,00
G31913;Inzersdorf-Getzersdorf;1.244;899;16;883;393;44,51;164;18,57;163;18,46;59;6,68;17;1,93;79;8,95;6;0,68;2;0,23;;0,00;;0,00;;0,00;;0,00;;0,00
G31915;Kapelln;1.103;817;13;804;433;53,86;88;10,95;145;18,03;51;6,34;7;0,87;71;8,83;5;0,62;4;0,50;;0,00;;0,00;;0,00;;0,00;;0,00
G31916;Karlstetten;1.779;1.309;22;1.287;579;44,99;240;18,65;227;17,64;82;6,37;25;1,94;118;9,17;13;1,01;3;0,23;;0,00;;0,00;;0,00;;0,00;;0,00
G31917;Kasten bei Böheimkirchen;1.123;897;17;880;397;45,11;122;13,86;117;13,30;100;11,36;19;2,16;112;12,73;10;1,14;3;0,34;;0,00;;0,00;;0,00;;0,00;;0,00
G31918;Kirchberg an der Pielach;2.624;1.884;45;1.839;937;50,95;281;15,28;280;15,23;98;5,33;25;1,36;198;10,77;12;0,65;8;0,44;;0,00;;0,00;;0,00;;0,00;;0,00
G31919;Kirchstetten;1.768;1.140;22;1.118;477;42,67;201;17,98;182;16,28;96;8,59;26;2,33;124;11,09;5;0,45;7;0,63;;0,00;;0,00;;0,00;;0,00;;0,00
G31920;Loich;507;357;6;351;188;53,56;61;17,38;59;16,81;8;2,28;5;1,42;25;7,12;1;0,28;4;1,14;;0,00;;0,00;;0,00;;0,00;;0,00
