;;Nationalratswahl vom 28.09.2008 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30641;Trumau                                  ;2.200;82,00;27;1.777;821;46,20;-9,53;268;15,08;-7,38;128;7,20;-1,10;364;20,48;12,59;119;6,70;4,55;10;0,56;0,56;34;1,91;1,91;10;0,56;-0,52;4;0,23;0,23;19;1,07;1,07;;;;;;;;;;;;;;;
30645;Weissenbach an der Triesting            ;1.318;78,22;19;1.012;345;34,09;-5,58;271;26,78;-8,78;72;7,11;0,84;216;21,34;9,83;65;6,42;2,93;6;0,59;0,59;17;1,68;1,68;6;0,59;-0,13;5;0,49;0,49;9;0,89;0,89;;;;;;;;;;;;;;;
30646;Blumau - Neurißhof                      ;1.346;73,92;12;983;379;38,56;-10,54;139;14,14;-7,78;62;6,31;-1,38;299;30,42;16,19;73;7,43;4,90;4;0,41;0,41;13;1,32;1,32;6;0,61;-0,13;4;0,41;0,41;4;0,41;0,41;;;;;;;;;;;;;;;
307;Bezirk Bruck an der Leitha              ;32.958;83,44;566;26.933;9.837;36,52;-6,76;7.324;27,19;-7,27;1.665;6,18;-0,39;5.335;19,81;9,63;1.722;6,39;4,49;196;0,73;0,73;377;1,40;1,40;182;0,68;-0,07;48;0,18;0,18;247;0,92;0,92;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;30;1.710;608;35,56;35,56;538;31,46;31,46;132;7,72;7,72;262;15,32;15,32;96;5,61;5,61;14;0,82;0,82;35;2,05;2,05;7;0,41;0,41;4;0,23;0,23;14;0,82;0,82;;;;;;;;;;;;;;;
30701;Au am Leithaberge                       ;764;82,72;8;624;138;22,12;-5,45;242;38,78;-9,51;24;3,85;1,28;169;27,08;14,58;41;6,57;3,49;1;0,16;0,16;4;0,64;0,64;3;0,48;-0,72;0;0,00;0,00;2;0,32;0,32;;;;;;;;;;;;;;;
30702;Bad Deutsch-Altenburg                   ;1.112;81,12;16;886;294;33,18;-6,98;178;20,09;-11,46;50;5,64;-1,46;188;21,22;7,72;134;15,12;11,63;7;0,79;0,79;11;1,24;1,24;10;1,13;0,08;0;0,00;0,00;14;1,58;1,58;;;;;;;;;;;;;;;
30703;Berg                                    ;547;82,45;9;442;197;44,57;-4,12;130;29,41;-9,24;19;4,30;0,81;67;15,16;7,30;22;4,98;3,89;3;0,68;0,68;2;0,45;0,45;2;0,45;0,45;0;0,00;0,00;0;0,00;0,00;;;;;;;;;;;;;;;
30704;Bruck an der Leitha                     ;6.056;73,59;95;4.361;1.744;39,99;-6,43;981;22,49;-6,97;377;8,64;-0,45;801;18,37;8,76;281;6,44;4,72;41;0,94;0,94;54;1,24;1,24;35;0,80;-0,03;10;0,23;0,23;37;0,85;0,85;;;;;;;;;;;;;;;
30706;Enzersdorf an der Fischa                ;2.368;79,98;42;1.852;700;37,80;-8,47;447;24,14;-6,42;105;5,67;-1,34;442;23,87;13,08;92;4,97;3,61;12;0,65;0,65;25;1,35;1,35;12;0,65;-0,14;1;0,05;0,05;16;0,86;0,86;;;;;;;;;;;;;;;
30708;Göttlesbrunn - Arbesthal                ;1.095;81,83;17;879;182;20,71;-3,88;394;44,82;-10,72;42;4,78;-0,93;166;18,89;11,86;67;7,62;4,66;6;0,68;0,68;8;0,91;0,91;6;0,68;-0,20;5;0,57;0,57;3;0,34;0,34;;;;;;;;;;;;;;;
30709;Götzendorf an der Leitha                ;1.448;76,93;29;1.085;451;41,57;-7,46;263;24,24;-3,97;66;6,08;-0,33;203;18,71;7,11;50;4,61;3,03;5;0,46;0,46;23;2,12;2,12;7;0,65;-0,23;1;0,09;0,09;16;1,47;1,47;;;;;;;;;;;;;;;
30710;Hainburg a. d. Donau                    ;4.085;70,80;37;2.855;960;33,63;-6,91;664;23,26;-7,29;181;6,34;-1,15;710;24,87;11,07;236;8,27;5,90;25;0,88;0,88;29;1,02;1,02;25;0,88;0,01;1;0,04;0,04;24;0,84;0,84;;;;;;;;;;;;;;;
30711;Haslau - Maria Ellend                   ;1.387;77,14;16;1.054;408;38,71;-7,36;228;21,63;-9,40;84;7,97;-0,36;186;17,65;7,98;91;8,63;6,62;1;0,09;0,09;20;1,90;1,90;13;1,23;0,46;1;0,09;0,09;22;2,09;2,09;;;;;;;;;;;;;;;
30712;Höflein                                 ;931;84,00;18;764;187;24,48;-4,88;320;41,88;-9,41;29;3,80;-0,67;151;19,76;10,29;55;7,20;4,76;7;0,92;0,92;4;0,52;0,52;2;0,26;0,26;2;0,26;0,26;7;0,92;0,92;;;;;;;;;;;;;;;
30713;Hof am Leithaberge                      ;1.122;87,97;26;961;313;32,57;-6,28;277;28,82;-8,18;28;2,91;-0,90;235;24,45;12,05;76;7,91;4,21;2;0,21;0,21;14;1,46;1,46;5;0,52;-0,13;0;0,00;0,00;11;1,14;1,14;;;;;;;;;;;;;;;
30715;Hundsheim                               ;474;87,13;11;402;179;44,53;-6,88;101;25,12;-3,27;12;2,99;-0,59;73;18,16;7,93;19;4,73;3,45;5;1,24;1,24;11;2,74;2,74;2;0,50;-0,01;0;0,00;0,00;0;0,00;0,00;;;;;;;;;;;;;;;
30716;Mannersdorf am Leithagebirge            ;2.963;78,13;59;2.256;1.191;52,79;-8,50;320;14,18;-5,11;159;7,05;0,96;410;18,17;9,38;86;3,81;2,52;24;1,06;1,06;31;1,37;1,37;9;0,40;-0,59;2;0,09;0,09;24;1,06;1,06;;;;;;;;;;;;;;;
30718;Petronell - Carnuntum                   ;976;79,30;22;752;304;40,43;-6,50;189;25,13;-6,11;50;6,65;-1,19;143;19,02;9,22;44;5,85;3,76;5;0,66;0,66;9;1,20;1,20;5;0,66;0,27;1;0,13;0,13;2;0,27;0,27;;;;;;;;;;;;;;;
30719;Prellenkirchen                          ;1.087;83,81;15;896;225;25,11;-4,58;388;43,30;-11,19;27;3,01;-0,52;171;19,08;11,46;46;5,13;4,33;4;0,45;0,45;11;1,23;1,23;14;1,56;0,42;2;0,22;0,22;8;0,89;0,89;;;;;;;;;;;;;;;
30721;Rohrau                                  ;1.181;81,12;21;937;292;31,16;-6,64;347;37,03;-8,00;65;6,94;1,22;164;17,50;9,18;43;4,59;3,62;2;0,21;0,21;10;1,07;1,07;1;0,11;-0,43;8;0,85;0,85;5;0,53;0,53;;;;;;;;;;;;;;;
30722;Scharndorf                              ;905;82,76;19;730;207;28,36;-4,47;314;43,01;-9,99;43;5,89;0,30;105;14,38;9,34;37;5,07;3,71;6;0,82;0,82;10;1,37;1,37;3;0,41;-0,27;1;0,14;0,14;4;0,55;0,55;;;;;;;;;;;;;;;
30724;Sommerein                               ;1.598;80,10;19;1.261;551;43,70;-6,88;273;21,65;-8,23;52;4,12;-0,85;269;21,33;11,64;62;4,92;2,93;9;0,71;0,71;26;2,06;2,06;8;0,63;0,22;3;0,24;0,24;8;0,63;0,63;;;;;;;;;;;;;;;
30726;Trautmannsdorf an der Leitha            ;2.254;79,77;49;1.749;549;31,39;-6,46;553;31,62;-8,40;107;6,12;-0,91;336;19,21;8,98;113;6,46;4,92;16;0,91;0,91;37;2,12;2,12;9;0,51;0,00;5;0,29;0,29;24;1,37;1,37;;;;;;;;;;;;;;;
30728;Wolfsthal                               ;605;80,17;8;477;157;32,91;-5,39;177;37,11;-8,21;13;2,73;-0,25;84;17,61;8,25;31;6,50;4,37;1;0,21;0,21;3;0,63;0,63;4;0,84;0,41;1;0,21;0,21;6;1,26;1,26;;;;;;;;;;;;;;;
308;Bezirk Gänserndorf                      ;73.548;83,19;1.180;60.007;21.267;35,44;-6,24;16.364;27,27;-6,73;3.673;6,12;-0,71;12.754;21,25;10,28;3.486;5,81;3,38;451;0,75;0,75;909;1,51;1,51;376;0,63;-0,15;166;0,28;0,28;561;0,93;0,93;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;49;3.894;1.301;33,41;33,41;1.251;32,13;32,13;341;8,76;8,76;625;16,05;16,05;182;4,67;4,67;35;0,90;0,90;94;2,41;2,41;18;0,46;0,46;14;0,36;0,36;33;0,85;0,85;;;;;;;;;;;;;;;
30801;Aderklaa                                ;144;89,58;2;127;4;3,15;-3,04;81;63,78;-11,44;9;7,09;-0,87;21;16,54;8,58;7;5,51;4,63;2;1,57;1,57;3;2,36;2,36;0;0,00;-0,88;0;0,00;0,00;0;0,00;0,00;;;;;;;;;;;;;;;
30802;Andlersdorf                             ;103;75,73;5;73;18;24,66;-5,34;41;56,16;2,41;4;5,48;-0,77;8;10,96;3,46;1;1,37;1,37;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;1,37;1,37;0;0,00;0,00;;;;;;;;;;;;;;;
30803;Angern an der March                     ;2.518;81,61;35;2.020;892;44,16;-8,94;471;23,32;-4,61;81;4,01;-0,96;393;19,46;11,79;111;5,50;2,85;20;0,99;0,99;28;1,39;1,39;14;0,69;-0,05;3;0,15;0,15;7;0,35;0,35;;;;;;;;;;;;;;;
30804;Auersthal                               ;1.442;82,80;35;1.159;415;35,81;-3,10;405;34,94;-5,46;89;7,68;0,06;165;14,24;6,38;34;2,93;0,86;8;0,69;0,69;20;1,73;1,73;7;0,60;0,10;7;0,60;0,60;9;0,78;0,78;;;;;;;;;;;;;;;
30805;Bad Pirawarth                           ;1.301;82,48;28;1.045;325;31,10;-3,77;392;37,51;-8,54;54;5,17;0,16;170;16,27;6,83;74;7,08;5,25;2;0,19;0,19;14;1,34;1,34;0;0,00;-0,48;3;0,29;0,29;11;1,05;1,05;;;;;;;;;;;;;;;
30808;Deutsch-Wagram                          ;5.852;75,31;89;4.318;1.470;34,04;-4,11;933;21,61;-8,23;395;9,15;-2,60;1.058;24,50;10,88;237;5,49;3,40;32;0,74;0,74;95;2,20;2,20;33;0,76;-0,44;12;0,28;0,28;53;1,23;1,23;;;;;;;;;;;;;;;
30810;Drösing                                 ;995;77,49;11;760;312;41,05;-10,68;231;30,39;-5,38;30;3,95;0,76;131;17,24;11,92;34;4,47;2,74;7;0,92;0,92;1;0,13;0,13;5;0,66;-0,14;3;0,39;0,39;6;0,79;0,79;;;;;;;;;;;;;;;
30811;Dürnkrut                                ;1.846;76,65;20;1.395;635;45,52;-9,06;295;21,15;-3,74;38;2,72;-0,31;304;21,79;11,42;82;5,88;3,41;9;0,65;0,65;15;1,08;1,08;11;0,79;-0,13;2;0,14;0,14;4;0,29;0,29;;;;;;;;;;;;;;;
30812;Ebenthal                                ;660;77,58;9;503;156;31,01;-8,14;141;28,03;-11,70;29;5,77;0,54;138;27,44;15,23;27;5,37;4,01;0;0,00;0,00;3;0,60;0,60;2;0,40;0,21;1;0,20;0,20;6;1,19;1,19;;;;;;;;;;;;;;;
30813;Eckartsau                               ;933;77,81;15;711;165;23,21;-4,74;307;43,18;-9,87;22;3,09;-0,57;156;21,94;12,44;35;4,92;3,29;1;0,14;0,14;9;1,27;1,27;7;0,98;0,03;2;0,28;0,28;7;0,98;0,98;;;;;;;;;;;;;;;
30814;Engelhartstetten                        ;1.547;79,96;10;1.227;377;30,73;-8,78;389;31,70;-5,84;52;4,24;-0,68;275;22,41;11,92;92;7,50;4,47;10;0,81;0,81;9;0,73;0,73;6;0,49;-0,25;5;0,41;0,41;12;0,98;0,98;;;;;;;;;;;;;;;
30817;Gänserndorf                             ;7.331;73,37;100;5.279;1.910;36,18;-6,43;1.037;19,64;-5,22;500;9,47;-1,87;1.250;23,68;9,21;339;6,42;3,68;35;0,66;0,66;97;1,84;1,84;30;0,57;-0,12;16;0,30;0,30;65;1,23;1,23;;;;;;;;;;;;;;;
30819;Glinzendorf                             ;184;83,70;2;152;29;19,08;-0,80;75;49,34;-6,56;6;3,95;0,22;27;17,76;4,72;6;3,95;-1,64;0;0,00;0,00;2;1,32;1,32;2;1,32;0,70;0;0,00;0,00;5;3,29;3,29;;;;;;;;;;;;;;;
30821;Groß-Enzersdorf                         ;7.125;76,38;103;5.339;1.845;34,56;-7,30;1.155;21,63;-7,44;470;8,80;-0,82;1.238;23,19;10,18;375;7,02;5,15;35;0,66;0,66;125;2,34;2,34;34;0,64;-0,17;8;0,15;0,15;54;1,01;1,01;;;;;;;;;;;;;;;
30822;Großhofen                               ;62;82,26;0;51;8;15,69;-5,06;31;60,78;-1,48;1;1,96;-5,59;9;17,65;10,10;1;1,96;1,96;0;0,00;0,00;0;0,00;0,00;0;0,00;-1,89;1;1,96;1,96;0;0,00;0,00;;;;;;;;;;;;;;;
30824;Groß-Schweinbarth                       ;964;82,05;18;773;271;35,06;-2,06;299;38,68;-5,64;28;3,62;-1,68;130;16,82;7,86;23;2,98;1,34;5;0,65;0,65;4;0,52;0,52;3;0,39;0,14;6;0,78;0,78;4;0,52;0,52;;;;;;;;;;;;;;;
30825;Haringsee                               ;938;77,83;12;718;202;28,13;-4,81;272;37,88;-11,92;31;4,32;-0,55;144;20,06;11,63;47;6,55;5,23;8;1,11;1,11;4;0,56;0,56;5;0,70;0,04;0;0,00;0,00;5;0,70;0,70;;;;;;;;;;;;;;;
30826;Hauskirchen                             ;1.012;81,62;17;809;255;31,52;-2,85;306;37,82;-9,20;40;4,94;1,22;134;16,56;9,12;42;5,19;1,59;5;0,62;0,62;6;0,74;0,74;8;0,99;0,25;6;0,74;0,74;7;0,87;0,87;;;;;;;;;;;;;;;
30827;Hohenau an der March                    ;2.250;75,60;30;1.671;919;55,00;-8,63;266;15,92;-3,83;52;3,11;-0,08;293;17,53;10,02;81;4,85;2,52;17;1,02;1,02;13;0,78;0,78;17;1,02;0,28;3;0,18;0,18;10;0,60;0,60;;;;;;;;;;;;;;;
30828;Hohenruppersdorf                        ;748;87,30;28;625;119;19,04;-2,84;299;47,84;-8,25;34;5,44;0,01;107;17,12;6,76;33;5,28;3,14;4;0,64;0,64;22;3,52;3,52;0;0,00;0,00;2;0,32;0,32;5;0,80;0,80;;;;;;;;;;;;;;;
30829;Jedenspeigen                            ;928;83,08;20;751;279;37,15;-3,34;267;35,55;-7,94;25;3,33;-1,10;113;15,05;8,15;42;5,59;4,55;8;1,07;1,07;5;0,67;0,67;3;0,40;0,27;2;0,27;0,27;7;0,93;0,93;;;;;;;;;;;;;;;
30830;Lassee                                  ;1.873;76,13;24;1.402;434;30,96;-8,51;417;29,74;-9,36;58;4,14;-0,44;336;23,97;13,40;117;8,35;5,47;5;0,36;0,36;17;1,21;1,21;7;0,50;-0,09;1;0,07;0,07;10;0,71;0,71;;;;;;;;;;;;;;;
30831;Leopoldsdorf im Marchfelde              ;1.865;77,96;17;1.437;649;45,16;-11,26;275;19,14;-4,91;82;5,71;-0,24;294;20,46;12,08;80;5,57;4,08;9;0,63;0,63;22;1,53;1,53;11;0,77;0,30;5;0,35;0,35;10;0,70;0,70;;;;;;;;;;;;;;;
30834;Mannsdorf an der Donau                  ;295;82,37;6;237;62;26,16;-1,91;102;43,04;-3,01;10;4,22;-1,04;36;15,19;4,66;21;8,86;5,35;0;0,00;0,00;3;1,27;1,27;1;0,42;-1,33;0;0,00;0,00;2;0,84;0,84;;;;;;;;;;;;;;;
30835;Marchegg                                ;2.196;74,86;26;1.618;744;45,98;-7,19;289;17,86;-5,80;64;3,96;-1,16;402;24,85;14,30;66;4,08;1,70;11;0,68;0,68;16;0,99;0,99;7;0,43;-0,42;10;0,62;0,62;9;0,56;0,56;;;;;;;;;;;;;;;
30836;Markgrafneusiedl                        ;670;78,66;16;511;211;41,29;-6,17;116;22,70;-9,33;28;5,48;0,79;97;18,98;9,60;41;8,02;5,48;3;0,59;0,59;5;0,98;0,98;3;0,59;-0,58;1;0,20;0,20;6;1,17;1,17;;;;;;;;;;;;;;;
30838;Matzen - Raggendorf                     ;2.026;80,90;19;1.620;518;31,98;-4,86;498;30,74;-7,48;89;5,49;-2,38;353;21,79;10,52;107;6,60;4,08;16;0,99;0,99;22;1,36;1,36;6;0,37;-0,20;1;0,06;0,06;10;0,62;0,62;;;;;;;;;;;;;;;
30841;Neusiedl an der Zaya                    ;1.011;80,32;26;786;248;31,55;-2,24;302;38,42;-8,19;22;2,80;-0,84;157;19,97;10,55;31;3,94;2,43;8;1,02;1,02;5;0,64;0,64;5;0,64;-0,37;2;0,25;0,25;6;0,76;0,76;;;;;;;;;;;;;;;
30842;Obersiebenbrunn                         ;1.254;79,35;20;975;374;38,36;-9,05;188;19,28;-7,98;48;4,92;0,18;262;26,87;13,62;60;6,15;3,02;10;1,03;1,03;9;0,92;0,92;8;0,82;0,39;3;0,31;0,31;13;1,33;1,33;;;;;;;;;;;;;;;
30844;Orth an der Donau                       ;1.586;75,66;29;1.171;354;30,23;-5,43;354;30,23;-9,01;80;6,83;0,26;276;23,57;10,02;52;4,44;2,53;6;0,51;0,51;18;1,54;1,54;11;0,94;0,52;3;0,26;0,26;17;1,45;1,45;;;;;;;;;;;;;;;
30845;Palterndorf - Dobermannsdorf            ;1.018;76,03;20;754;203;26,92;-4,04;333;44,16;-4,50;14;1,86;-1,58;132;17,51;8,08;49;6,50;2,81;3;0,40;0,40;7;0,93;0,93;3;0,40;-0,49;3;0,40;0,40;7;0,93;0,93;;;;;;;;;;;;;;;
30846;Parbasdorf                              ;112;89,29;3;97;7;7,22;1,84;65;67,01;2,49;5;5,15;-3,45;15;15,46;3,63;4;4,12;-4,48;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;1,03;1,03;;;;;;;;;;;;;;;
30848;Prottes                                 ;1.044;77,87;20;793;267;33,67;-7,49;224;28,25;-7,34;34;4,29;0,17;196;24,72;13,22;46;5,80;2,29;8;1,01;1,01;16;2,02;2,02;0;0,00;-0,48;1;0,13;0,13;1;0,13;0,13;;;;;;;;;;;;;;;
30849;Raasdorf                                ;412;76,21;5;309;95;30,74;-6,33;122;39,48;-10,36;18;5,83;0,22;48;15,53;11,17;10;3,24;1,06;0;0,00;0,00;8;2,59;2,59;4;1,29;0,98;1;0,32;0,32;3;0,97;0,97;;;;;;;;;;;;;;;
30850;Ringelsdorf - Niederabsdorf             ;1.133;81,55;21;903;435;48,17;-8,34;236;26,14;-3,47;15;1,66;-0,62;147;16,28;9,88;45;4,98;3,79;4;0,44;0,44;5;0,55;0,55;6;0,66;-0,53;3;0,33;0,33;7;0,78;0,78;;;;;;;;;;;;;;;
30852;Schönkirchen - Reyersdorf               ;1.494;81,53;29;1.189;417;35,07;-6,04;324;27,25;-7,97;71;5,97;-1,78;250;21,03;12,23;71;5,97;3,79;13;1,09;1,09;27;2,27;2,27;2;0,17;-0,40;0;0,00;0,00;14;1,18;1,18;;;;;;;;;;;;;;;
30854;Spannberg                               ;763;80,60;15;600;130;21,67;-4,78;246;41,00;-10,07;23;3,83;-0,14;149;24,83;13,59;36;6,00;3,52;7;1,17;1,17;3;0,50;0,50;0;0,00;-1,16;2;0,33;0,33;4;0,67;0,67;;;;;;;;;;;;;;;
30856;Strasshof an der Nordbahn               ;6.352;74,75;85;4.663;1.943;41,67;-8,46;582;12,48;-5,34;329;7,06;-1,57;1.221;26,18;11,50;305;6,54;3,94;55;1,18;1,18;79;1,69;1,69;60;1,29;-0,18;14;0,30;0,30;75;1,61;1,61;;;;;;;;;;;;;;;
30857;Sulz im Weinviertel                     ;975;81,54;26;769;189;24,58;-3,11;321;41,74;-10,89;26;3,38;-1,38;162;21,07;12,30;43;5,59;3,84;4;0,52;0,52;10;1,30;1,30;1;0,13;-0,12;3;0,39;0,39;10;1,30;1,30;;;;;;;;;;;;;;;
30858;Untersiebenbrunn                        ;1.176;80,87;9;942;448;47,56;-5,32;138;14,65;-7,07;25;2,65;-3,21;251;26,65;14,16;58;6,16;2,69;6;0,64;0,64;7;0,74;0,74;5;0,53;0,20;1;0,11;0,11;3;0,32;0,32;;;;;;;;;;;;;;;
30859;Velm - Götzendorf                       ;657;79,76;10;514;168;32,68;-1,82;185;35,99;-12,82;17;3,31;-0,73;84;16,34;8,82;33;6,42;5,14;8;1,56;1,56;2;0,39;0,39;2;0,39;-0,16;6;1,17;1,17;9;1,75;1,75;;;;;;;;;;;;;;;
30860;Weikendorf                              ;1.527;80,48;21;1.208;409;33,86;-2,70;347;28,73;-7,02;90;7,45;0,28;236;19,54;9,77;87;7,20;0,69;5;0,41;0,41;15;1,24;1,24;10;0,83;-0,07;2;0,17;0,17;7;0,58;0,58;;;;;;;;;;;;;;;
30863;Zistersdorf                             ;4.501;80,74;87;3.547;934;26,33;-3,08;1.462;41,22;-8,42;167;4,71;-0,45;678;19,11;9,20;197;5,55;3,08;23;0,65;0,65;40;1,13;1,13;17;0,48;-0,24;5;0,14;0,14;24;0,68;0,68;;;;;;;;;;;;;;;
30865;Weiden an der March                     ;725;78,62;8;562;121;21,53;-3,30;294;52,31;-5,10;27;4,80;-0,03;83;14,77;7,87;22;3,91;0,98;4;0,71;0,71;4;0,71;0,71;2;0,36;-0,16;2;0,36;0,36;3;0,53;0,53;;;;;;;;;;;;;;;
309;Bezirk Gmünd                            ;32.129;84,62;863;26.324;9.627;36,57;-6,11;9.320;35,40;-4,68;1.308;4,97;0,09;3.745;14,23;7,30;1.450;5,51;3,28;134;0,51;0,51;208;0,79;0,79;169;0,64;0,06;137;0,52;0,52;226;0,86;0,86;;;;;;;;;;;;;;;
     ;Wahlkarten                              ;0;0,00;57;2.190;801;36,58;36,58;764;34,89;34,89;192;8,77;8,77;237;10,82;10,82;83;3,79;3,79;12;0,55;0,55;43;1,96;1,96;12;0,55;0,55;12;0,55;0,55;34;1,55;1,55;;;;;;;;;;;;;;;
30902;Amaliendorf - Aalfang                   ;938;81,13;33;728;392;53,85;-8,01;131;17,99;-1,53;33;4,53;0,70;112;15,38;6,83;42;5,77;3,60;5;0,69;0,69;4;0,55;0,55;6;0,82;0,18;0;0,00;0,00;3;0,41;0,41;;;;;;;;;;;;;;;
30903;Brand - Nagelberg                       ;1.453;79,56;35;1.121;671;59,86;-8,41;199;17,75;-3,18;41;3,66;0,79;115;10,26;6,55;59;5,26;3,49;12;1,07;1,07;6;0,54;0,54;9;0,80;0,63;2;0,18;0,18;7;0,62;0,62;;;;;;;;;;;;;;;
30904;Eggern                                  ;615;77,72;15;463;145;31,32;-1,20;201;43,41;-7,20;21;4,54;-0,95;57;12,31;7,23;30;6,48;3,02;1;0,22;0,22;4;0,86;0,86;1;0,22;-0,39;0;0,00;0,00;3;0,65;0,65;;;;;;;;;;;;;;;
30906;Eisgarn                                 ;559;81,75;18;439;145;33,03;-6,28;204;46,47;-4,29;7;1,59;-1,43;50;11,39;9,01;22;5,01;2,42;1;0,23;0,23;2;0,46;0,46;2;0,46;0,03;1;0,23;0,23;5;1,14;1,14;;;;;;;;;;;;;;;
30908;Gmünd                                   ;4.619;73,91;85;3.329;1.409;42,33;-7,46;900;27,04;-4,27;183;5,50;-0,63;533;16,01;8,10;194;5,83;4,11;13;0,39;0,39;32;0,96;0,96;26;0,78;0,19;19;0,57;0,57;20;0,60;0,60;;;;;;;;;;;;;;;
30909;Großdietmanns                           ;1.854;80,42;57;1.434;436;30,40;-5,55;567;39,54;-7,68;64;4,46;0,41;240;16,74;10,35;87;6,07;3,46;12;0,84;0,84;4;0,28;0,28;8;0,56;0,15;5;0,35;0,35;11;0,77;0,77;;;;;;;;;;;;;;;
30910;Bad Großpertholz                        ;1.223;79,39;34;937;302;32,23;-5,63;363;38,74;-7,01;38;4,06;0,12;137;14,62;7,36;58;6,19;3,60;4;0,43;0,43;4;0,43;0,43;9;0,96;0,23;18;1,92;1,92;4;0,43;0,43;;;;;;;;;;;;;;;
30912;Großschönau                             ;996;77,91;28;748;107;14,30;-4,17;399;53,34;-9,84;62;8,29;1,92;105;14,04;6,65;54;7,22;5,05;2;0,27;0,27;2;0,27;0,27;5;0,67;0,16;4;0,53;0,53;8;1,07;1,07;;;;;;;;;;;;;;;
30913;Moorbad Harbach                         ;581;90,19;8;516;164;31,78;-5,67;182;35,27;-6,91;34;6,59;0,23;67;12,98;5,16;57;11,05;7,41;0;0,00;0,00;4;0,78;0,78;2;0,39;-0,16;1;0,19;0,19;5;0,97;0,97;;;;;;;;;;;;;;;
30915;Haugschlag                              ;424;77,59;8;321;96;29,91;-10,93;125;38,94;-3,70;13;4,05;-0,15;56;17,45;9,94;24;7,48;4,48;1;0,31;0,31;2;0,62;0,62;1;0,31;0,31;3;0,93;0,93;0;0,00;0,00;;;;;;;;;;;;;;;
30916;Heidenreichstein                        ;3.635;75,38;87;2.653;1.055;39,77;-6,52;857;32,30;-3,28;132;4,98;-0,82;400;15,08;7,69;133;5,01;3,39;18;0,68;0,68;25;0,94;0,94;13;0,49;-0,24;7;0,26;0,26;13;0,49;0,49;;;;;;;;;;;;;;;
30917;Hirschbach                              ;510;81,76;16;401;151;37,66;-4,13;155;38,65;-2,15;11;2,74;-3,23;55;13,72;7,00;16;3,99;2,25;1;0,25;0,25;4;1,00;1,00;1;0,25;0,00;4;1,00;1,00;3;0,75;0,75;;;;;;;;;;;;;;;
30920;Hoheneich                               ;1.194;80,90;38;928;365;39,33;-2,93;315;33,94;-5,77;45;4,85;-0,24;115;12,39;7,81;41;4,42;0,35;7;0,75;0,75;9;0,97;0,97;15;1,62;0,70;6;0,65;0,65;10;1,08;1,08;;;;;;;;;;;;;;;
30921;Kirchberg am Walde                      ;1.162;76,76;31;861;216;25,09;-5,71;398;46,23;-6,18;36;4,18;0,65;127;14,75;6,62;63;7,32;5,07;1;0,12;0,12;4;0,46;0,46;2;0,23;-0,09;7;0,81;0,81;7;0,81;0,81;;;;;;;;;;;;;;;
30925;Litschau                                ;2.010;75,82;40;1.484;497;33,49;-4,59;590;39,76;-3,56;49;3,30;-0,21;232;15,63;5,79;79;5,32;3,28;6;0,40;0,40;8;0,54;0,54;6;0,40;-0,49;5;0,34;0,34;12;0,81;0,81;;;;;;;;;;;;;;;
30929;Reingers                                ;569;78,38;18;428;110;25,70;-0,04;233;54,44;-6,38;8;1,87;0,28;49;11,45;5,30;24;5,61;2,65;0;0,00;0,00;1;0,23;0,23;0;0,00;-0,68;1;0,23;0,23;2;0,47;0,47;;;;;;;;;;;;;;;
30932;St. Martin                              ;966;78,26;23;733;204;27,83;-6,37;315;42,97;-3,90;35;4,77;-1,22;116;15,83;7,25;37;5,05;3,01;3;0,41;0,41;3;0,41;0,41;5;0,68;0,00;7;0,95;0,95;8;1,09;1,09;;;;;;;;;;;;;;;
30935;Schrems                                 ;4.678;77,13;127;3.481;1.642;47,17;-8,73;871;25,02;-1,66;149;4,28;-0,15;526;15,11;7,99;176;5,06;2,57;18;0,52;0,52;23;0,66;0,66;29;0,83;0,44;13;0,37;0,37;34;0,98;0,98;;;;;;;;;;;;;;;
30939;Unserfrau - Altweitra                   ;836;80,74;24;651;134;20,58;-0,55;366;56,22;-9,70;25;3,84;-0,03;70;10,75;7,62;25;3,84;1,46;4;0,61;0,61;5;0,77;0,77;3;0,46;0,16;10;1,54;1,54;9;1,38;1,38;;;;;;;;;;;;;;;
30940;Waldenstein                             ;943;80,81;23;739;124;16,78;-3,69;406;54,94;-7,66;32;4,33;-1,05;122;16,51;10,34;41;5,55;3,84;2;0,27;0,27;4;0,54;0,54;3;0,41;-0,25;1;0,14;0,14;4;0,54;0,54;;;;;;;;;;;;;;;
30942;Weitra                                  ;2.364;76,02;58;1.739;461;26,51;-4,92;779;44,80;-5,92;98;5,64;-0,43;224;12,88;6,81;105;6,04;4,18;11;0,63;0,63;15;0,86;0,86;11;0,63;-0,28;11;0,63;0,63;24;1,38;1,38;;;;;;;;;;;;;;;
