	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	FPÖ	ÖVP	GRÜNE	KPÖ	LIF
270	41300	Bezirk Rohrbach                      	42153	36133	776	35357	8799	2785	21338	2109	152	174
271	41301	Afiesl                        	304	275	6	269	72	15	168	10	2	2
272	41302	Ahorn                         	370	329	11	318	70	35	184	16	10	3
273	41303	Aigen im Mühlkreis            	1453	1179	20	1159	335	97	629	84	5	9
274	41304	Altenfelden                   	1618	1343	34	1309	341	171	690	98	3	6
275	41305	Arnreit                       	793	703	8	695	107	59	496	27	2	4
276	41306	Atzesberg                     	346	307	8	299	26	19	238	11	3	2
277	41307	Auberg                        	389	340	5	335	61	41	211	20	0	2
278	41308	Berg bei Rohrbach             	1966	1654	35	1619	384	108	976	138	3	10
279	41309	Haslach an der Mühl           	1987	1652	41	1611	620	114	720	149	2	6
280	41310	Helfenberg                    	760	663	13	650	151	47	408	31	9	4
281	41311	Hörbich                       	302	268	9	259	31	24	197	5	0	2
282	41312	Hofkirchen im Mühlkreis       	1077	888	12	876	193	48	554	69	10	2
283	41313	Julbach                       	1199	1015	19	996	366	69	512	36	8	5
284	41314	Kirchberg ob der Donau        	818	706	11	695	216	64	371	30	6	8
285	41315	Klaffer am Hochficht          	994	852	17	835	349	90	357	34	3	2
286	41316	Kleinzell im Mühlkreis        	1064	915	27	888	311	71	451	45	4	6
287	41317	Kollerschlag                  	1078	928	26	902	203	71	598	28	2	0
288	41318	Lembach im Mühlkreis          	1147	956	25	931	239	85	525	73	5	4
289	41319	Lichtenau im Mühlkreis        	416	366	12	354	83	28	230	9	0	4
290	41320	Nebelberg                     	454	420	14	406	78	23	295	10	0	0
291	41321	Neufelden                     	907	756	21	735	191	53	426	61	2	2
292	41322	Niederkappel                  	770	666	9	657	131	45	459	14	5	3
293	41323	Niederwaldkirchen             	1305	1123	13	1110	228	86	724	63	2	7
294	41324	Oberkappel                    	508	409	17	392	78	23	276	12	1	2
295	41325	Oepping                       	1181	1009	20	989	242	58	621	60	2	6
296	41326	Peilstein im Mühlviertel      	1202	1069	34	1035	259	80	657	34	1	4
297	41327	Pfarrkirchen im Mühlkreis     	1072	886	9	877	144	60	621	42	7	3
298	41328	Putzleinsdorf                 	1116	916	17	899	150	83	629	30	5	2
299	41329	Neustift im Mühlkreis         	1060	922	12	910	184	61	633	29	1	2
300	41330	Rohrbach in Oberösterreich    	1741	1579	39	1540	356	94	900	175	1	14
301	41331	St.Johann am Wimberg          	741	654	18	636	142	61	409	23	1	0
302	41332	St.Martin im Mühlkreis        	2534	2195	40	2155	610	170	1151	199	4	21
303	41333	St.Oswald bei Haslach         	413	371	6	365	106	28	207	24	0	0
304	41334	St.Peter am Wimberg           	1268	1102	27	1075	177	64	780	50	0	4
