	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	KPÖ	MATIN
183	41000	Bezirk Linz-Land                     	98618	77424	1505	75919	20562	33286	9552	7598	2023	547	2351
184	41001	Allhaming                     	776	672	12	660	279	238	53	57	16	2	15
185	41002	Ansfelden                     	10845	8463	157	8306	1603	4121	1339	662	284	53	244
186	41003	Asten                         	4565	3484	78	3406	632	1807	442	248	109	30	138
187	41004	Eggendorf im Traunkreis       	562	448	4	444	175	170	42	27	10	1	19
188	41005	Enns                          	7779	5916	107	5809	1503	2704	630	607	131	35	199
189	41006	Hargelsberg                   	885	745	18	727	308	229	68	58	26	8	30
190	41007	Hörsching                     	4120	3290	63	3227	849	1377	460	294	94	22	131
191	41008	Hofkirchen im Traunkreis      	1137	915	21	894	361	303	88	87	21	9	25
192	41009	Kematen an der Krems          	1676	1379	29	1350	555	478	167	88	24	7	31
193	41010	Kirchberg-Thening             	1766	1451	21	1430	342	690	184	157	20	11	26
194	41011	Kronstorf                     	2331	1900	33	1867	557	834	213	142	50	7	64
195	41012	Leonding                      	17607	13448	250	13198	3699	5413	1556	1703	346	108	373
196	41013	St.Florian                    	4405	3612	87	3525	1362	1237	316	411	78	21	100
197	41014	Neuhofen an der Krems         	4140	3282	77	3205	1034	1188	374	436	63	36	74
198	41015	Niederneukirchen              	1418	1249	14	1235	540	425	96	97	30	8	39
199	41016	Oftering                      	1468	1228	29	1199	345	526	150	111	23	13	31
200	41017	Pasching                      	4895	3829	94	3735	869	1752	501	382	94	18	119
201	41018	Piberbach                     	1350	1110	16	1094	344	470	144	81	26	5	24
202	41019	Pucking                       	2753	2214	37	2177	594	897	352	169	59	19	87
203	41020	St.Marien                     	3309	2710	63	2647	930	1043	251	266	67	14	76
204	41021	Traun                         	16669	12565	220	12345	2404	6272	1788	1006	366	98	411
205	41022	Wilhering                     	4162	3514	75	3439	1277	1112	338	509	86	22	95
206	41100	Bezirk Perg                          	48784	40862	862	40000	15221	16337	3765	2901	701	223	852
207	41101	Allerheiligen im Mühlkreis    	885	765	15	750	345	256	78	38	17	9	7
208	41102	Arbing                        	1033	900	19	881	412	285	65	83	9	3	24
209	41103	Baumgartenberg                	1133	977	22	955	459	268	137	55	19	1	16
210	41104	Dimbach                       	801	701	12	689	356	226	47	31	11	3	15
211	41105	Grein                         	2376	1940	44	1896	723	774	160	132	39	6	62
212	41106	Katsdorf                      	2131	1785	33	1752	585	749	146	183	29	13	47
213	41107	Klam                          	631	561	12	549	232	185	74	32	14	4	8
214	41108	Bad Kreuzen                   	1678	1455	49	1406	924	194	159	77	19	5	28
215	41109	Langenstein                   	1979	1637	37	1600	343	916	157	100	25	16	43
216	41110	Luftenberg an der Donau       	2973	2450	38	2412	511	1295	275	201	49	17	64
217	41111	Mauthausen                    	3529	2845	50	2795	676	1535	246	212	57	22	47
218	41112	Mitterkirchen im Machland     	1318	1146	28	1118	525	397	73	68	21	6	28
219	41113	Münzbach                      	1246	1072	25	1047	619	210	130	41	21	2	24
220	41114	Naarn im Machlande            	2524	2127	40	2087	884	832	184	89	36	9	53
221	41115	Pabneukirchen                 	1289	1051	21	1030	580	261	73	66	23	8	19
222	41116	Perg                          	5455	4431	93	4338	1568	1645	480	428	92	26	99
223	41117	Rechberg                      	655	571	13	558	381	112	16	30	11	2	6
