GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	KPÖ	LIF
G70734	Virgen	1515	1130	24	1106	790	154	111	35	4	12
G70801	Bach	480	374	4	370	267	41	25	26	10	1
G70802	Berwang	458	369	9	360	243	50	35	26	1	5
G70803	Biberwier	431	340	13	327	185	76	29	23	5	9
G70804	Bichlbach	556	424	7	417	263	83	38	24	2	7
G70805	Breitenwang	1016	818	6	812	365	233	72	121	6	15
G70806	Ehenbichl	534	446	3	443	265	96	32	46	0	4
G70807	Ehrwald	1782	1349	23	1326	743	308	155	88	9	23
G70808	Elbigenalp	593	471	3	468	359	41	28	36	0	4
G70809	Elmen	288	228	3	225	158	29	13	16	1	8
G70810	Forchach	186	148	2	146	89	30	11	11	2	3
G70811	Grän	346	250	2	248	198	23	17	9	0	1
G70812	Gramais	38	33	0	33	26	3	2	1	1	0
G70813	Häselgehr	486	386	6	380	262	45	38	28	2	5
G70814	Heiterwang	393	312	4	308	215	47	17	25	0	4
G70815	Hinterhornbach	70	61	1	60	54	1	5	0	0	0
G70816	Höfen	876	696	9	687	374	190	66	49	3	5
G70817	Holzgau	315	249	2	247	171	31	27	16	2	0
G70818	Jungholz	123	86	0	86	79	5	2	0	0	0
G70819	Kaisers	55	45	1	44	44	0	0	0	0	0
G70820	Lechaschau	1277	992	22	970	441	290	123	94	11	11
G70821	Lermoos	712	562	17	545	373	70	49	42	4	7
G70822	Musau	268	198	3	195	120	45	13	12	3	2
G70823	Namlos	75	59	1	58	51	4	2	1	0	0
G70824	Nesselwängle	336	242	6	236	182	26	18	6	2	2
G70825	Pfafflar	91	78	0	78	61	10	2	4	1	0
G70826	Pflach	754	595	7	588	280	143	87	57	4	17
G70827	Pinswang	298	224	5	219	154	33	9	22	0	1
G70828	Reutte	3734	2894	47	2847	1163	1000	250	376	19	39
G70829	Schattwald	278	210	2	208	173	10	16	5	0	4
G70830	Stanzach	306	239	8	231	158	38	7	23	1	4
G70831	Steeg	494	400	5	395	306	33	28	24	1	3
G70832	Tannheim	701	521	5	516	396	46	46	26	2	0
G70833	Vils	1037	813	14	799	531	157	53	52	2	4
G70834	Vorderhornbach	210	181	3	178	104	37	22	9	1	5
G70835	Wängle	632	508	5	503	298	122	38	35	5	5
G70836	Weißenbach am Lech	923	605	4	601	272	190	76	46	9	8
G70837	Zöblen	177	128	4	124	101	4	10	8	1	0
G70901	Achenkirch	1473	1079	17	1062	619	171	160	80	12	20
G70902	Aschau im Zillertal	1100	822	12	810	532	148	78	45	3	4
G70903	Brandberg	249	191	6	185	134	23	21	4	2	1
G70904	Bruck am Ziller	712	594	8	586	383	98	73	22	2	8
G70905	Buch bei Jenbach	1772	1488	26	1462	667	406	187	175	11	16
G70907	Eben am Achensee	1728	1331	17	1314	731	289	188	77	5	24
G70908	Finkenberg	1114	873	16	857	537	195	80	35	3	7
G70909	Fügen	2354	1856	26	1830	973	466	203	157	11	20
G70910	Fügenberg	808	617	4	613	432	94	55	23	2	7
G70911	Gallzein	388	284	5	279	172	51	39	15	0	2
G70912	Gerlos	587	448	5	443	286	86	39	24	4	4
G70913	Gerlosberg	294	219	1	218	172	20	18	3	3	2
G70914	Hainzenberg	476	358	6	352	202	67	56	24	1	2
G70915	Hart im Zillertal	934	689	8	681	433	127	80	23	4	14
G70916	Hippach	1011	751	23	728	531	96	64	25	6	6
G70917	Jenbach	4611	3653	62	3591	1227	1459	442	377	18	68
G70918	Kaltenbach	761	620	10	610	312	205	53	33	2	5
G70920	Mayrhofen	2452	1829	23	1806	1020	348	225	175	8	30
G70921	Pill	743	613	7	606	386	110	62	39	2	7
G70922	Ramsau im Zillertal	983	730	13	717	438	153	77	32	2	15
G70923	Ried im Zillertal	788	625	6	619	377	134	46	45	7	10
G70924	Rohrberg	276	219	5	214	123	63	20	6	1	1
G70925	Schlitters	861	702	12	690	426	126	73	42	10	13
