GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	LIF	KPÖ	RETTÖ	DC	FRITZ	LINKE
G70613	Ladis	394	241	2	239	110	21	35	23	22	7	0	0	0	21	0
G70614	Landeck	5656	3711	72	3639	905	1080	706	328	262	78	17	24	56	182	1
G70615	Nauders	1141	693	14	679	306	98	84	26	72	5	2	3	7	76	0
G70616	Pettneu am Arlberg	1132	701	14	687	212	129	131	61	60	6	3	6	6	72	1
G70617	Pfunds	1950	1234	17	1217	493	201	160	81	118	10	4	12	15	123	0
G70618	Pians	627	400	4	396	143	89	83	20	30	4	1	0	4	22	0
G70619	Prutz	1233	811	8	803	228	165	142	92	51	11	3	13	17	81	0
G70620	Ried im Oberinntal	969	550	8	542	227	74	60	65	39	16	4	0	9	48	0
G70622	Schönwies	1291	904	9	895	234	331	122	56	62	13	5	1	10	61	0
G70623	See	871	547	4	543	256	45	107	9	61	5	1	2	39	18	0
G70624	Serfaus	849	516	13	503	292	43	32	55	45	4	1	0	9	22	0
G70625	Spiss	97	69	2	67	37	8	9	0	4	0	0	1	0	8	0
G70621	St. Anton am Arlberg	1860	1022	22	1000	462	93	104	105	102	13	1	5	14	100	1
G70626	Stanz bei Landeck	491	331	16	315	128	74	37	14	28	9	3	0	1	21	0
G70627	Strengen	988	661	14	647	227	173	109	29	48	3	3	6	13	35	1
G70628	Tobadill	417	278	3	275	129	45	37	18	15	0	4	1	6	19	1
G70629	Tösens	528	305	7	298	122	46	59	9	21	1	1	1	8	30	0
G70630	Zams	2603	1868	23	1845	701	393	300	190	108	24	4	8	22	94	1
G70701	Abfaltersbach	499	362	8	354	206	34	24	14	34	3	1	1	9	28	0
G70702	Ainet	774	498	7	491	172	48	70	47	89	6	0	1	19	39	0
G70703	Amlach	297	203	8	195	49	25	34	23	38	1	3	0	5	16	1
G70704	Anras	1023	690	9	681	345	84	64	24	92	3	3	9	3	54	0
G70705	Assling	1573	1134	24	1110	569	122	119	79	128	7	2	6	10	68	0
G70706	Außervillgraten	683	476	7	469	270	38	61	21	45	1	4	0	4	25	0
G70707	Dölsach	1795	1137	24	1113	332	220	158	86	173	10	4	9	12	108	1
G70708	Gaimberg	701	411	8	403	143	57	35	46	53	5	3	3	19	39	0
G70735	Heinfels	788	515	21	494	232	61	58	30	56	1	5	2	6	43	0
G70709	Hopfgarten in Defereggen	644	413	10	403	275	22	36	17	24	2	1	3	5	18	0
G70710	Innervillgraten	749	471	8	463	338	18	26	17	40	3	0	3	3	15	0
G70711	Iselsberg-Stronach	488	272	2	270	102	33	33	17	50	5	0	2	7	21	0
G70712	Kals am Großglockner	1005	511	9	502	252	33	89	16	53	5	1	2	18	33	0
G70713	Kartitsch	702	473	5	468	318	26	30	19	40	1	2	2	6	24	0
G70714	Lavant	222	142	1	141	59	14	19	17	25	1	0	2	3	1	0
G70715	Leisach	706	436	13	423	131	76	41	41	83	5	2	4	5	35	0
G70716	Lienz	9863	6077	123	5954	1639	1304	728	713	888	99	30	47	67	436	3
G70717	Matrei in Osttirol	3840	2416	43	2373	1016	232	386	147	352	17	3	14	41	165	0
G70718	Nikolsdorf	695	484	9	475	223	76	49	27	40	3	2	5	5	45	0
G70719	Nußdorf-Debant	2586	1735	24	1711	406	368	248	146	347	13	5	11	22	145	0
G70720	Oberlienz	1145	735	15	720	303	69	99	52	131	3	2	3	9	48	1
G70721	Obertilliach	577	390	9	381	247	20	28	16	46	3	1	1	2	17	0
G70723	Prägraten am Großvenediger	993	535	14	521	284	24	95	11	52	6	1	2	6	39	1
G70727	Schlaiten	374	261	9	252	97	24	45	7	33	1	0	4	9	31	1
G70728	Sillian	1660	1047	18	1029	459	110	166	59	130	7	2	3	18	74	1
G70724	St. Jakob in Defereggen	796	500	17	483	190	20	171	32	37	7	3	0	0	23	0
G70725	St. Johann im Walde	233	168	13	155	72	15	19	6	23	0	1	0	1	18	0
G70726	St. Veit in Defereggen	582	372	15	357	153	21	126	10	25	1	1	1	2	17	0
G70729	Strassen	650	436	5	431	236	25	49	33	43	3	1	1	5	35	0
G70731	Thurn	488	329	6	323	157	23	47	23	34	1	1	0	3	34	0
G70732	Tristach	1055	710	20	690	236	113	82	84	84	7	3	8	11	61	1
G70733	Untertilliach	208	101	0	101	47	5	5	2	20	2	19	0	0	1	0
G70734	Virgen	1700	961	23	938	343	109	193	52	120	14	1	3	8	95	0
G70801	Bach	534	292	9	283	118	20	43	17	20	5	0	8	1	51	0
G70802	Berwang	449	276	13	263	92	25	43	25	35	5	2	3	4	29	0
G70803	Biberwier	450	280	6	274	108	41	33	29	25	1	0	0	4	33	0
G70804	Bichlbach	591	349	6	343	144	57	55	22	19	6	2	3	9	26	0
G70805	Breitenwang	1167	683	26	657	159	150	81	122	49	12	6	7	5	66	0
G70806	Ehenbichl	626	350	11	339	119	50	42	36	32	9	5	2	10	34	0
G70807	Ehrwald	1847	993	19	974	321	155	144	55	74	14	2	7	14	183	5
G70808	Elbigenalp	628	411	5	406	186	37	54	40	36	9	5	0	4	35	0
G70809	Elmen	329	188	6	182	98	14	14	20	10	2	1	0	0	23	0
G70810	Forchach	210	127	2	125	32	23	18	8	14	1	0	0	13	16	0
G70811	Grän	378	193	4	189	108	11	19	12	18	1	3	1	0	16	0
G70812	Gramais	44	37	0	37	24	2	2	2	5	0	0	0	0	2	0
G70813	Häselgehr	529	281	4	277	110	25	44	21	29	7	2	3	6	30	0
G70814	Heiterwang	415	213	9	204	61	34	27	13	10	6	3	3	4	43	0
G70815	Hinterhornbach	75	51	4	47	30	2	0	0	6	0	0	0	0	9	0
G70816	Höfen	968	598	19	579	176	123	83	56	56	14	2	3	7	59	0
G70817	Holzgau	324	205	2	203	109	21	19	13	17	2	4	4	0	14	0
G70818	Jungholz	124	68	4	64	51	1	0	1	3	0	0	0	0	8	0
G70819	Kaisers	60	44	1	43	33	2	3	1	2	0	0	0	0	2	0
G70820	Lechaschau	1420	824	9	815	215	161	154	69	98	18	6	12	6	76	0
G70821	Lermoos	750	407	7	400	198	36	40	25	42	1	2	4	3	49	0
G70822	Musau	291	148	4	144	46	29	19	9	10	2	4	3	2	20	0
G70823	Namlos	84	43	3	40	26	3	3	0	4	0	0	0	0	4	0
G70824	Nesselwängle	330	171	7	164	71	12	18	16	18	3	1	1	4	20	0
G70825	Pfafflar	87	59	3	56	39	6	3	1	0	2	0	0	1	4	0
G70826	Pflach	848	474	9	465	122	85	88	42	66	10	6	3	4	39	0
G70827	Pinswang	315	151	8	143	62	20	13	16	5	5	1	0	5	16	0
G70828	Reutte	4007	2294	58	2236	545	593	351	277	215	41	11	6	18	178	1
G70829	Schattwald	298	159	4	155	85	5	10	17	12	1	1	0	4	20	0
G70830	Stanzach	328	228	7	221	88	32	34	17	19	3	3	3	1	21	0
G70831	Steeg	531	317	10	307	187	18	42	15	27	1	0	1	2	14	0
G70832	Tannheim	758	352	5	347	166	20	39	25	28	7	1	2	17	42	0
G70833	Vils	1107	653	23	630	231	122	97	32	58	6	5	12	14	53	0
G70834	Vorderhornbach	230	144	3	141	64	17	19	4	17	4	1	5	0	10	0
G70835	Wängle	661	399	14	385	151	56	55	31	42	6	1	4	5	34	0
G70836	Weißenbach am Lech	1010	474	6	468	107	105	90	20	54	3	4	7	21	55	2
G70837	Zöblen	186	108	1	107	66	2	12	12	7	1	1	1	0	5	0
G70901	Achenkirch	1565	899	12	887	313	111	156	40	130	13	8	9	5	101	1
G70902	Aschau im Zillertal	1224	783	21	762	360	103	90	35	112	3	1	2	6	50	0
G70903	Brandberg	282	170	5	165	78	23	25	2	16	4	1	0	2	14	0
G70904	Bruck am Ziller	787	528	9	519	189	80	110	23	48	4	2	4	9	50	0
G70905	Buch bei Jenbach	1988	1384	25	1359	326	273	328	110	157	16	1	9	5	133	1
G70907	Eben am Achensee	1945	1192	9	1183	388	196	234	86	127	18	2	4	4	122	2
G70908	Finkenberg	1178	735	11	724	315	123	80	32	73	5	2	4	16	73	1
G70909	Fügen	2608	1575	14	1561	434	289	324	102	233	11	10	8	4	145	1
G70910	Fügenberg	965	616	3	613	303	68	89	24	76	3	4	2	5	39	0
G70911	Gallzein	426	260	3	257	107	24	44	12	46	2	1	0	1	20	0
G70912	Gerlos	608	493	6	487	309	54	46	7	34	3	15	0	0	19	0
G70913	Gerlosberg	336	202	4	198	111	16	32	4	28	2	1	1	0	3	0
G70914	Hainzenberg	501	289	0	289	132	37	48	5	36	0	1	0	8	22	0
G70915	Hart im Zillertal	1087	663	20	643	270	83	113	31	91	2	2	2	4	44	1
G70916	Hippach	1056	578	6	572	340	58	61	11	56	3	0	5	2	36	0
G70917	Jenbach	4901	3133	27	3106	442	933	742	262	306	55	23	24	20	296	3
G70918	Kaltenbach	870	527	9	518	190	132	56	28	60	7	1	3	4	37	0
G70920	Mayrhofen	2603	1466	18	1448	565	209	184	143	169	19	4	10	3	142	0
G70921	Pill	843	548	5	543	210	74	121	48	40	8	4	5	2	31	0
G70922	Ramsau im Zillertal	1181	670	9	661	257	108	93	39	71	5	2	3	2	81	0
G70923	Ried im Zillertal	903	547	6	541	233	95	74	30	58	7	0	4	2	38	0
G70924	Rohrberg	363	232	5	227	86	45	33	13	28	1	1	0	2	18	0
G70925	Schlitters	971	620	9	611	248	81	102	16	74	2	1	6	4	76	1
G70926	Schwaz	9631	6219	99	6120	1396	1422	1183	722	492	154	50	50	39	602	10
G70927	Schwendau	1121	659	9	650	286	58	94	33	80	9	2	11	9	68	0
G70928	Stans	1472	1082	13	1069	300	186	200	121	107	13	12	12	1	115	2
G70929	Steinberg am Rofan	226	136	4	132	77	17	12	2	12	0	1	1	0	10	0
G70930	Strass im Zillertal	641	471	3	468	199	63	64	31	41	11	1	1	14	43	0
G70931	Stumm	1383	796	16	780	291	180	81	47	91	7	3	7	7	66	0
G70932	Stummerberg	626	369	1	368	205	40	53	10	41	2	1	0	2	14	0
G70933	Terfens	1560	1056	16	1040	331	172	146	127	108	20	6	10	7	112	1
G70934	Tux	1448	1024	14	1010	480	146	118	39	95	14	3	3	12	99	1
G70935	Uderns	1199	714	9	705	162	192	130	26	104	9	3	3	2	74	0
G70936	Vomp	3375	2306	24	2282	612	492	442	213	214	41	9	16	12	228	3
G70937	Weer	1151	793	2	791	263	129	134	68	87	11	4	9	2	82	2
G70938	Weerberg	1763	1122	25	1097	461	92	232	63	100	14	4	5	14	112	0
G70939	Wiesing	1513	994	17	977	260	246	180	64	119	13	5	2	7	81	0
G70940	Zell am Ziller	1343	774	14	760	285	165	107	36	85	9	2	4	10	57	0
G70941	Zellberg	505	324	3	321	142	50	41	18	37	2	2	1	8	20	0
G7007A	Wahlkarten Innsbruck Inland	0	1043	10	1033	282	125	98	309	63	67	9	5	2	73	0
G7007B	Wahlkarten Innsbr. Land Inland	0	784	16	768	188	114	87	197	59	49	3	2	7	62	0
G7007C	Wahlkarten Unterland Inland	0	493	5	488	142	79	39	110	54	20	5	6	2	31	0
G7007D	Wahlkarten Oberland Inland	0	398	4	394	116	40	49	104	22	26	2	2	4	29	0
G7007E	Wahlkarten Osttirol Inland	0	422	4	418	129	33	37	128	35	21	6	0	2	26	1
G70099	Wahlkarten unzuordenbar	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0
G70199	Briefwahlkarten Innsbruck-Stadt	0	6504	55	6449	1910	830	627	1789	323	448	38	35	55	382	12
G70299	Briefwahlkarten Imst	0	1774	21	1753	649	244	252	249	134	46	8	9	35	125	2
G70399	Briefwahlkarten Innsbruck-Land	0	7477	81	7396	2486	1084	895	1304	493	351	35	44	54	646	4
G70499	Briefwahlkarten Kitzbühel	0	2585	22	2563	962	407	311	362	222	77	5	20	18	176	3
G70599	Briefwahlkarten Kufstein	0	3338	37	3301	1056	547	497	458	351	124	9	27	31	201	0
G70699	Briefwahlkarten Landeck	0	1556	12	1544	706	239	175	189	93	35	2	13	12	78	2
G70799	Briefwahlkarten Lienz	0	2258	29	2229	798	302	235	408	219	68	12	20	29	138	0
G70899	Briefwahlkarten Reutte	0	1205	13	1192	437	165	128	185	76	42	3	11	19	126	0
G70999	Briefwahlkarten Schwaz	0	2742	29	2713	953	439	354	357	224	102	9	19	12	243	1
