GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	NEOS	FLÖ	GILT	KPÖ	PILZ	WEIßE
G70342	Polling in Tirol	792	578	3	575	179	127	203	10	30	2	2	1	20	1
G70343	Ranggen	829	631	4	627	260	109	149	26	37	1	8	7	28	2
G70344	Reith bei Seefeld	851	516	1	515	235	74	115	27	29	0	7	1	27	0
G70345	Rinn	1401	1054	5	1049	418	176	273	49	57	1	5	5	61	4
G70346	Rum	6777	4736	22	4714	1276	1416	1331	199	216	9	42	43	170	12
G70348	Scharnitz	876	555	2	553	213	107	175	14	13	2	4	3	19	3
G70349	Schmirn	703	567	5	562	331	70	137	3	9	0	0	0	11	1
G70350	Schönberg im Stubaital	735	493	4	489	207	84	125	24	26	0	4	1	18	0
G70351	Seefeld in Tirol	2067	1251	7	1244	559	179	303	51	74	0	4	3	70	1
G70352	Sellrain	1106	724	9	715	278	213	174	4	18	0	2	5	18	3
G70353	Sistrans	1723	1226	3	1223	487	247	204	92	103	2	10	3	73	2
G70347	St. Sigmund im Sellrain	137	91	1	90	47	15	18	2	5	0	1	0	1	1
G70355	Steinach am Brenner	2693	1890	22	1868	693	412	541	43	94	2	16	7	54	6
G70356	Telfes im Stubai	1204	820	5	815	352	154	198	22	39	2	13	9	24	2
G70357	Telfs	10821	6342	65	6277	1731	1583	1798	406	384	12	47	40	267	9
G70358	Thaur	3001	2208	12	2196	882	451	564	50	130	0	10	10	97	2
G70359	Trins	1024	713	9	704	277	139	211	19	34	1	5	2	16	0
G70360	Tulfes	1188	858	2	856	368	121	272	23	33	1	10	2	24	2
G70361	Unterperfuss	189	88	0	88	40	15	21	7	2	0	1	0	2	0
G70362	Vals	435	344	4	340	170	44	105	4	6	0	1	0	9	1
G70364	Völs	5080	3476	21	3455	1144	866	844	185	170	11	25	22	177	11
G70365	Volders	3432	2322	17	2305	864	421	717	66	111	4	31	8	78	5
G70366	Wattenberg	597	455	1	454	195	42	173	7	20	3	4	1	7	2
G70367	Wattens	5981	3916	21	3895	1246	878	1246	126	221	9	29	12	120	8
G70368	Wildermieming	685	504	0	504	202	94	114	16	40	4	8	1	24	1
G70369	Zirl	5969	4038	27	4011	1200	1106	968	181	271	9	36	20	213	7
G70401	Aurach bei Kitzbühel	850	558	9	549	303	66	138	17	15	0	1	1	7	1
G70402	Brixen im Thale	2020	1314	11	1303	647	257	267	28	56	3	10	3	31	1
G70403	Fieberbrunn	3302	2279	17	2262	942	549	494	72	109	2	26	6	55	7
