GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	NEOS	JETZT	GRÜNE	GILT	KPÖ	WANDL
G70304	Axams	4670	2715	18	2697	1096	386	415	237	41	487	4	22	9
G70305	Baumkirchen	956	531	3	528	235	68	92	41	17	68	2	3	2
G70306	Birgitz	1118	699	6	693	312	77	88	71	13	121	1	5	5
G70307	Ellbögen	911	608	3	605	343	60	89	51	8	48	1	4	1
G70308	Flaurling	982	635	7	628	292	95	73	50	18	96	1	3	0
G70309	Fritzens	1669	1012	4	1008	421	147	169	103	21	131	2	10	4
G70310	Fulpmes	3091	1792	14	1778	788	319	285	148	26	202	1	6	3
G70311	Gnadenwald	620	401	3	398	222	26	49	42	6	51	0	0	2
G70312	Götzens	3091	1794	13	1781	772	218	307	174	28	266	2	7	7
G70313	Gries am Brenner	991	630	1	629	328	77	134	29	10	43	0	4	4
G70314	Gries im Sellrain	478	327	3	324	179	70	32	14	3	21	1	0	4
G70315	Grinzens	1078	646	5	641	282	97	112	53	18	76	0	2	1
G70317	Gschnitz	342	211	6	205	129	22	37	12	1	3	0	1	0
G70354	Hall in Tirol	9567	5539	49	5490	1718	1063	885	574	143	1028	9	47	23
G70318	Hatting	1079	624	5	619	247	84	103	65	15	99	1	3	2
G70319	Inzing	2958	1843	12	1831	752	262	246	183	33	320	2	18	15
G70320	Kematen in Tirol	2211	1265	11	1254	507	163	196	109	31	239	0	7	2
G70322	Kolsass	1260	828	9	819	365	99	129	59	12	147	3	2	3
G70323	Kolsassberg	626	400	2	398	223	30	84	26	3	29	2	1	0
G70325	Lans	821	475	4	471	216	34	62	60	3	91	1	3	1
G70326	Leutasch	1601	866	7	859	492	48	122	82	11	98	3	1	2
G70327	Matrei am Brenner	714	442	8	434	196	70	64	50	8	42	0	1	3
G70328	Mieders	1336	766	8	758	352	86	117	82	8	110	1	1	1
G70329	Mils	3412	2216	16	2200	953	230	326	254	41	368	6	14	8
G70330	Mühlbachl	1055	618	9	609	346	98	88	36	6	30	2	2	1
G70331	Mutters	1610	1020	6	1014	496	81	128	117	18	169	0	3	2
G70332	Natters	1604	951	1	950	434	110	122	100	16	156	1	5	6
G70333	Navis	1616	1030	6	1024	647	111	158	48	10	47	1	0	2
G70334	Neustift im Stubaital	3477	2245	20	2225	1261	183	403	146	36	181	3	8	4
G70335	Oberhofen im Inntal	1367	868	5	863	323	146	184	85	14	103	1	4	3
G70336	Obernberg am Brenner	289	217	1	216	127	14	53	11	1	9	0	0	1
G70337	Oberperfuss	2419	1553	16	1537	749	207	179	151	27	209	1	12	2
G70338	Patsch	811	515	2	513	230	59	69	53	3	92	1	6	0
G70339	Pettnau	847	479	6	473	216	54	73	54	10	56	5	1	4
G70340	Pfaffenhofen	825	413	2	411	159	68	70	44	3	60	4	2	1
G70341	Pfons	1004	643	7	636	341	79	93	41	13	62	3	3	1
G70342	Polling in Tirol	850	524	9	515	230	69	120	37	5	44	0	4	6
G70343	Ranggen	835	563	5	558	272	48	78	43	9	99	1	4	4
G70344	Reith bei Seefeld	873	480	2	478	243	38	61	39	16	77	0	2	2
G70345	Rinn	1448	966	4	962	431	84	155	102	17	163	1	9	0
G70346	Rum	6810	4116	32	4084	1452	860	699	344	74	595	12	25	23
G70348	Scharnitz	867	450	5	445	223	58	75	29	9	49	1	0	1
G70349	Schmirn	709	545	5	540	403	36	55	18	4	20	0	3	1
G70350	Schönberg im Stubaital	714	425	5	420	226	40	50	35	4	58	6	1	0
G70351	Seefeld in Tirol	2063	1101	2	1099	604	82	158	98	21	128	1	5	2
G70352	Sellrain	1090	620	6	614	295	178	63	25	9	35	1	7	1
G70353	Sistrans	1735	1114	5	1109	432	114	111	160	17	264	3	4	4
G70347	St. Sigmund im Sellrain	139	95	1	94	63	13	13	3	1	1	0	0	0
G70355	Steinach am Brenner	2693	1605	27	1578	782	232	258	124	28	138	3	11	2
G70356	Telfes im Stubai	1212	728	8	720	374	91	101	54	12	76	2	8	2
G70357	Telfs	10899	5533	52	5481	1801	1160	953	494	109	886	17	39	22
G70358	Thaur	3031	1981	15	1966	935	235	316	182	43	242	2	5	6
G70359	Trins	1036	667	7	660	362	80	82	46	10	73	2	4	1
G70360	Tulfes	1208	772	4	768	398	51	141	67	13	86	3	7	2
G70361	Unterperfuss	182	67	0	67	35	13	10	1	1	7	0	0	0
G70362	Vals	447	289	6	283	184	25	42	9	1	21	0	1	0
G70364	Völs	5133	3078	24	3054	1201	488	481	257	62	521	11	25	8
G70365	Volders	3403	2075	21	2054	964	226	417	158	37	227	7	12	6
G70366	Wattenberg	587	387	0	387	205	11	107	21	10	30	1	2	0
G70367	Wattens	6030	3397	27	3370	1440	547	664	239	55	380	10	17	18
G70368	Wildermieming	709	467	4	463	208	39	58	67	11	78	0	2	0
G70369	Zirl	6004	3471	21	3450	1214	552	529	405	74	628	8	21	19
G70401	Aurach bei Kitzbühel	826	498	6	492	328	38	69	17	3	34	0	3	0
G70402	Brixen im Thale	1995	1207	8	1199	730	164	116	70	13	90	7	6	3
G70403	Fieberbrunn	3279	2043	16	2027	1018	319	231	164	23	257	6	6	3
G70404	Going am Wilden Kaiser	1290	743	7	736	430	61	134	30	15	64	1	0	1
G70405	Hochfilzen	927	570	7	563	293	126	64	31	9	37	2	1	0
G70406	Hopfgarten im Brixental	4236	2701	17	2684	1597	247	376	172	34	241	9	4	4
G70407	Itter	896	615	2	613	353	66	101	33	7	47	3	3	0
G70408	Jochberg	1160	705	6	699	416	84	113	33	4	48	0	1	0
G70409	Kirchberg in Tirol	3674	2162	12	2150	1249	282	276	145	25	160	5	5	3
G70410	Kirchdorf in Tirol	2840	1752	5	1747	976	148	294	128	13	178	2	3	5
G70411	Kitzbühel	5776	2930	30	2900	1546	329	433	229	43	298	4	12	6
G70412	Kössen	2985	1722	13	1709	1104	110	248	81	13	134	3	11	5
G70413	Oberndorf in Tirol	1636	988	10	978	558	121	120	65	4	104	1	2	3
G70414	Reith bei Kitzbühel	1141	672	2	670	405	44	78	56	8	75	0	2	2
G70418	Schwendt	581	354	2	352	223	24	58	17	2	28	0	0	0
G70415	St. Jakob in Haus	575	377	5	372	225	45	27	32	7	35	0	1	0
G70416	St. Johann in Tirol	6569	3754	39	3715	1847	421	542	314	34	528	6	13	10
G70417	St. Ulrich am Pillersee	1214	756	6	750	464	52	91	58	13	66	2	3	1
G70419	Waidring	1522	981	3	978	514	99	177	65	8	111	1	2	1
G70420	Westendorf	2769	1690	16	1674	1034	163	175	100	16	174	3	5	4
G70501	Alpbach	1912	1338	7	1331	912	39	194	88	9	84	1	3	1
G70502	Angath	750	445	1	444	238	46	87	21	12	37	2	1	0
G70528	Angerberg	1464	975	5	970	488	100	147	86	14	124	3	6	2
G70503	Bad Häring	2003	1244	8	1236	504	281	154	73	17	197	1	7	2
G70504	Brandenberg	1219	775	9	766	468	101	113	39	5	37	0	3	0
G70505	Breitenbach am Inn	2668	1885	13	1872	1061	193	319	99	15	160	13	9	3
G70506	Brixlegg	2248	1312	7	1305	594	173	252	90	24	153	6	6	7
G70508	Ebbs	4083	2571	21	2550	1410	238	469	161	36	218	6	6	6
G70509	Ellmau	1867	1163	6	1157	664	78	209	58	17	125	1	3	2
G70510	Erl	1053	735	6	729	469	42	85	46	10	68	0	4	5
G70511	Kirchbichl	4328	2778	26	2752	1122	572	528	174	41	281	12	14	8
G70512	Kramsach	3827	2412	27	2385	972	288	448	192	48	411	10	9	7
G70513	Kufstein	12099	6531	44	6487	2499	1170	1076	494	134	1026	25	35	28
G70514	Kundl	3331	1992	15	1977	862	329	353	156	26	224	10	10	7
G70515	Langkampfen	3045	1948	10	1938	897	293	397	119	21	190	12	4	5
G70516	Mariastein	306	186	2	184	88	13	29	23	1	27	2	0	1
G70517	Münster	2609	1631	10	1621	704	235	340	118	23	177	6	12	6
G70518	Niederndorf	2033	1288	13	1275	702	81	248	93	25	110	8	6	2
G70519	Niederndorferberg	490	304	3	301	214	4	45	11	3	21	1	0	2
G70520	Radfeld	1772	1035	7	1028	417	148	251	78	26	98	5	3	2
G70521	Rattenberg	256	155	0	155	45	22	38	16	6	22	0	4	2
G70522	Reith im Alpbachtal	1998	1259	7	1252	776	110	179	75	13	94	0	2	3
G70523	Rettenschöss	375	227	3	224	174	4	24	8	0	13	0	1	0
G70524	Scheffau am Wilden Kaiser	1060	622	4	618	422	26	74	32	9	52	0	3	0
G70525	Schwoich	1911	1291	5	1286	713	128	203	72	19	131	9	4	7
G70526	Söll	2647	1698	6	1692	1069	149	213	98	17	134	5	4	3
G70527	Thiersee	2120	1502	8	1494	940	115	203	91	15	121	1	4	4
G70529	Walchsee	1312	825	7	818	480	44	161	43	2	85	1	2	0
G70530	Wildschönau	3179	2144	15	2129	1444	91	307	93	28	149	4	7	6
G70531	Wörgl	9032	4883	49	4834	1746	1176	895	266	85	613	13	20	20
G70601	Faggen	291	162	3	159	106	11	19	13	0	10	0	0	0
G70602	Fendels	209	136	1	135	103	5	5	14	0	7	0	1	0
G70603	Fiss	721	415	2	413	322	9	22	35	1	22	1	0	1
G70604	Fließ	2346	1500	8	1492	837	195	226	87	26	109	3	5	4
G70605	Flirsch	774	477	9	468	242	77	48	37	15	39	1	6	3
G70606	Galtür	606	415	2	413	301	13	49	24	5	21	0	0	0
G70607	Grins	1098	638	3	635	344	70	78	61	11	65	1	1	4
G70608	Ischgl	1234	786	2	784	610	24	82	40	6	21	1	0	0
G70609	Kappl	2064	1408	5	1403	1108	39	164	46	4	37	0	4	1
G70610	Kaunerberg	324	204	1	203	156	11	15	9	1	11	0	0	0
G70611	Kaunertal	465	301	0	301	235	15	8	17	3	21	1	1	0
G70612	Kauns	401	225	1	224	142	12	14	29	2	25	0	0	0
G70613	Ladis	418	233	1	232	138	12	34	18	2	24	2	2	0
G70614	Landeck	5576	3131	39	3092	1245	650	383	341	55	386	4	16	12
G70615	Nauders	1097	678	6	672	457	56	81	41	2	35	0	0	0
G70616	Pettneu am Arlberg	1122	673	5	668	343	90	67	59	10	92	3	0	4
G70617	Pfunds	1976	1191	10	1181	759	127	145	63	12	68	0	4	3
G70618	Pians	610	408	2	406	248	52	49	22	5	30	0	0	0
G70619	Prutz	1330	744	8	736	374	107	86	50	15	97	1	3	3
G70620	Ried im Oberinntal	907	508	0	508	313	43	56	29	11	53	0	3	0
G70622	Schönwies	1308	858	10	848	355	238	93	68	11	78	1	2	2
G70623	See	948	599	1	598	437	13	107	26	1	10	2	2	0
G70624	Serfaus	865	525	2	523	352	26	39	52	4	45	1	1	3
G70625	Spiss	90	50	0	50	36	4	9	1	0	0	0	0	0
G70621	St. Anton am Arlberg	1763	931	9	922	570	55	56	115	10	113	0	1	2
G70626	Stanz bei Landeck	476	315	8	307	145	67	15	28	5	45	0	2	0
G70627	Strengen	977	624	14	610	336	111	73	39	18	27	1	0	5
G70628	Tobadill	404	239	3	236	150	24	25	17	2	15	0	0	3
G70629	Tösens	577	315	8	307	193	27	46	16	4	19	0	1	1
G70630	Zams	2635	1597	11	1586	737	263	137	189	31	217	5	4	3
G70701	Abfaltersbach	511	364	6	358	259	11	39	18	2	26	0	1	2
G70702	Ainet	764	478	5	473	267	31	89	26	10	48	0	2	0
G70703	Amlach	373	246	8	238	118	20	54	18	4	20	1	2	1
G70704	Anras	989	672	7	665	486	32	75	38	1	30	0	2	1
G70705	Assling	1489	1003	9	994	655	65	111	59	13	82	1	5	3
G70706	Außervillgraten	640	461	3	458	335	23	36	27	4	30	2	0	1
G70707	Dölsach	1858	1122	16	1106	567	131	182	89	14	118	0	4	1
G70708	Gaimberg	678	443	8	435	223	42	61	42	13	51	0	2	1
G70735	Heinfels	779	499	4	495	328	18	52	51	2	36	2	6	0
G70709	Hopfgarten in Defereggen	587	358	8	350	268	9	36	22	3	11	0	0	1
G70710	Innervillgraten	741	470	5	465	382	12	34	19	4	13	1	0	0
G70711	Iselsberg-Stronach	479	266	6	260	140	23	39	16	8	31	1	2	0
G70712	Kals am Großglockner	940	537	7	530	367	22	89	15	2	30	0	4	1
G70713	Kartitsch	635	397	2	395	311	5	30	15	6	25	0	3	0
G70714	Lavant	261	176	1	175	85	16	44	17	0	11	2	0	0
G70715	Leisach	596	358	5	353	197	34	50	17	8	39	0	8	0
G70716	Lienz	9441	5216	57	5159	2222	820	724	446	114	769	20	21	23
G70717	Matrei in Osttirol	3840	2247	11	2236	1239	105	536	147	24	167	1	8	9
G70718	Nikolsdorf	701	421	3	418	255	38	47	26	7	44	0	0	1
G70719	Nußdorf-Debant	2743	1531	18	1513	689	222	299	110	17	165	3	4	4
G70720	Oberlienz	1232	715	6	709	433	45	97	47	10	73	0	3	1
G70721	Obertilliach	571	401	6	395	327	6	34	18	0	8	0	1	1
G70723	Prägraten am Großvenediger	959	551	6	545	367	10	119	20	0	27	0	2	0
G70727	Schlaiten	388	236	4	232	135	18	35	21	2	19	1	1	0
G70728	Sillian	1650	1066	10	1056	680	68	125	81	7	89	1	3	2
G70724	St. Jakob in Defereggen	700	432	6	426	300	10	55	30	3	28	0	0	0
G70725	St. Johann im Walde	227	163	0	163	110	11	26	8	3	2	2	0	1
G70726	St. Veit in Defereggen	532	349	4	345	240	10	50	24	1	20	0	0	0
G70729	Strassen	624	413	5	408	301	18	29	21	3	35	0	0	1
G70731	Thurn	510	322	3	319	196	16	38	23	2	42	0	2	0
G70732	Tristach	1165	740	10	730	389	63	84	61	17	109	0	3	4
G70733	Untertilliach	183	95	0	95	75	2	7	4	0	7	0	0	0
G70734	Virgen	1750	980	11	969	530	68	276	47	6	33	1	2	6
G70801	Bach	486	278	8	270	169	15	44	22	4	15	0	1	0
G70802	Berwang	405	278	1	277	164	17	40	26	5	25	0	0	0
G70803	Biberwier	443	285	3	282	139	32	48	30	6	25	1	0	1
G70804	Bichlbach	549	326	3	323	197	31	35	27	8	24	1	0	0
G70805	Breitenwang	1086	590	4	586	245	104	67	52	7	105	1	2	3
G70806	Ehenbichl	622	381	5	376	204	39	47	34	3	45	0	3	1
G70807	Ehrwald	1722	946	5	941	498	90	153	88	15	90	4	2	1
G70808	Elbigenalp	644	364	4	360	205	24	50	23	8	45	4	0	1
G70809	Elmen	286	176	4	172	121	4	14	11	1	19	2	0	0
G70810	Forchach	193	132	1	131	70	9	34	9	3	5	1	0	0
G70811	Grän	369	236	3	233	170	6	20	20	2	15	0	0	0
G70812	Gramais	32	24	0	24	23	0	0	0	0	1	0	0	0
G70813	Häselgehr	530	269	5	264	170	17	38	17	2	19	1	0	0
G70814	Heiterwang	400	228	2	226	134	15	35	19	1	16	0	2	4
G70815	Hinterhornbach	70	57	0	57	50	0	6	1	0	0	0	0	0
G70816	Höfen	930	528	2	526	303	63	61	42	5	48	0	4	0
G70817	Holzgau	299	199	2	197	132	11	30	10	1	10	1	1	1
G70818	Jungholz	97	52	0	52	45	0	5	1	0	1	0	0	0
G70819	Kaisers	58	41	0	41	25	1	4	4	3	4	0	0	0
G70820	Lechaschau	1506	813	12	801	371	118	124	72	14	98	1	2	1
G70821	Lermoos	745	441	2	439	278	27	54	36	6	32	2	3	1
G70822	Musau	283	182	0	182	110	23	17	13	3	15	0	0	1
G70823	Namlos	60	45	0	45	28	1	13	1	0	2	0	0	0
G70824	Nesselwängle	320	173	1	172	118	9	23	12	0	9	1	0	0
G70825	Pfafflar	85	44	0	44	35	2	5	0	0	2	0	0	0
G70826	Pflach	911	513	5	508	257	76	72	33	7	57	1	3	2
G70827	Pinswang	277	178	2	176	98	20	19	14	2	21	1	1	0
G70828	Reutte	4179	2058	11	2047	789	496	255	185	27	269	3	11	12
G70829	Schattwald	301	157	1	156	99	7	8	15	2	25	0	0	0
G70830	Stanzach	350	213	4	209	111	17	31	18	5	26	1	0	0
G70831	Steeg	523	353	3	350	256	6	41	22	9	15	0	0	1
G70832	Tannheim	703	395	6	389	252	19	52	35	5	23	0	0	3
G70833	Vils	1063	623	6	617	362	68	72	38	10	62	0	5	0
G70834	Vorderhornbach	208	151	1	150	94	6	23	14	2	11	0	0	0
G70835	Wängle	705	422	4	418	248	42	45	31	2	46	2	2	0
G70836	Weißenbach am Lech	951	494	9	485	249	58	108	29	10	22	3	3	3
G70837	Zöblen	171	99	1	98	76	1	11	2	0	8	0	0	0
G70901	Achenkirch	1573	854	5	849	530	57	142	49	16	44	1	4	6
G70902	Aschau im Zillertal	1330	702	11	691	425	57	116	35	8	44	1	2	3
G70903	Brandberg	277	166	0	166	110	8	37	5	0	6	0	0	0
G70904	Bruck am Ziller	854	564	2	562	348	43	105	26	7	31	0	1	1
G70905	Buch in Tirol	2018	1214	10	1204	516	145	281	91	19	138	8	5	1
G70907	Eben am Achensee	2088	1095	5	1090	575	120	177	93	13	105	3	3	1
G70908	Finkenberg	1080	656	4	652	411	69	77	39	6	44	2	2	2
G70909	Fügen	2810	1465	13	1452	763	173	274	91	19	122	2	4	4
G70910	Fügenberg	1047	592	1	591	382	36	109	19	13	28	0	4	0
G70911	Gallzein	495	326	2	324	175	16	91	14	2	23	0	1	2
G70912	Gerlos	596	395	0	395	248	44	62	20	10	9	1	0	1
G70913	Gerlosberg	375	232	2	230	155	16	41	5	2	10	0	0	1
G70914	Hainzenberg	530	323	4	319	184	42	56	14	3	19	0	1	0
G70915	Hart im Zillertal	1187	675	5	670	409	49	120	32	6	50	1	1	2
G70916	Hippach	1097	625	1	624	471	23	71	32	2	25	0	0	0
G70917	Jenbach	4919	2638	24	2614	924	643	522	173	42	276	4	22	8
G70918	Kaltenbach	913	540	4	536	278	93	89	17	4	52	1	0	2
G70920	Mayrhofen	2599	1380	11	1369	764	116	193	116	19	151	1	4	5
G70921	Pill	915	599	15	584	291	32	172	18	6	63	1	0	1
G70922	Ramsau im Zillertal	1234	673	6	667	391	55	123	33	10	50	0	3	2
G70923	Ried im Zillertal	910	561	8	553	322	74	62	38	5	46	3	3	0
G70924	Rohrberg	432	265	0	265	160	40	41	10	4	8	0	1	1
G70925	Schlitters	1080	636	11	625	343	78	103	31	7	57	1	2	3
G70926	Schwaz	9973	5537	64	5473	1994	1083	970	430	102	826	8	37	23
G70927	Schwendau	1254	706	7	699	463	38	105	48	3	39	2	0	1
G70928	Stans	1632	1031	7	1024	508	121	173	89	10	113	2	5	3
G70929	Steinberg am Rofan	210	125	1	124	98	5	12	4	0	4	0	1	0
G70930	Strass im Zillertal	648	414	2	412	219	42	55	36	6	50	0	3	1
G70931	Stumm	1466	828	18	810	453	108	119	38	11	78	0	0	3
G70932	Stummerberg	671	370	0	370	259	20	67	8	4	11	0	0	1
G70933	Terfens	1618	1039	5	1034	472	93	172	121	23	130	5	9	9
G70934	Tux	1399	926	13	913	618	75	99	56	8	52	1	4	0
G70935	Uderns	1338	746	2	744	366	116	162	38	6	49	1	1	5
G70936	Vomp	3831	2323	20	2303	936	397	440	171	30	305	5	13	6
G70937	Weer	1208	712	4	708	344	92	131	46	8	79	0	5	3
G70938	Weerberg	1933	1248	11	1237	803	54	210	72	11	81	1	5	0
G70939	Wiesing	1652	957	2	955	410	142	203	79	19	98	1	2	1
G70940	Zell am Ziller	1289	695	3	692	338	102	132	53	10	53	2	2	0
G70941	Zellberg	519	296	2	294	176	22	58	20	3	13	0	1	1
G7007A	Wahlkarten Inland Innsbruck	0	548	2	546	112	58	25	117	28	197	3	3	3
G7007B	Wahlkarten Inland Innsbruck-Land	0	415	3	412	93	55	41	63	19	129	4	3	5
G7007C	Wahlkarten Inland Unterland	0	249	2	247	84	19	32	46	3	54	2	4	3
G7007D	Wahlkarten Inland Oberland	0	175	2	173	44	19	11	33	11	51	0	2	2
G7007E	Wahlkarten Inland Osttirol	0	137	0	137	43	17	6	28	2	38	0	3	0
G70099	Wahlkarten Inland unzuordenbar	0	0	0	0	0	0	0	0	0	0	0	0	0
G70199	Briefwahlkarten Innsbruck-Stadt	0	14980	62	14918	3840	1927	1187	2128	305	5236	33	145	117
G70299	Briefwahlkarten Imst	0	4934	32	4902	2135	448	640	549	114	928	22	31	35
G70399	Briefwahlkarten Innsbruck-Land	0	18762	71	18691	6974	2366	2134	2516	318	4156	43	101	83
G70499	Briefwahlkarten Kitzbühel	0	6284	29	6255	3095	584	627	657	71	1150	20	27	24
G70599	Briefwahlkarten Kufstein	0	8035	42	7993	3492	913	907	813	135	1595	55	39	44
G70699	Briefwahlkarten Landeck	0	3523	17	3506	1700	410	286	458	62	552	10	16	12
G70799	Briefwahlkarten Lienz	0	4295	27	4268	1818	464	501	526	64	853	10	11	21
G70899	Briefwahlkarten Reutte	0	3009	18	2991	1495	316	315	316	53	462	11	17	6
G70999	Briefwahlkarten Schwaz	0	7467	41	7426	3310	838	1041	777	134	1221	25	33	47
